X,Y,ACCELA_ID,CHANNEL_ID,OWNERSHIP,ROAD_NAME,ROAD_ID,ROAD_SEQ_N,FROM_STREE,TO_STREET,GIS_FROM_P,LEGACY_FRO,INVENTORY_,EXPIRATION,CHANNEL_MA,CHANNEL_LO,CHANNEL_WI,CHANNEL_DE,FLOW_LENGT,INLET_TYPE,OUTLET_TYP,LINING,INLET_FILT,OUTLET_FIL,PRIORITY,CHANNEL_RA,FLAGGERS,ENGINEER_R,ENVIRONMEN,MAINTENANC,MAINTENA_1,SOURCE_NOT,COMMENTS,MAINTENA_2,ROAD_STATI,STREET_DIS,SUPERVISOR,COMMUNITY_,NEIGHBORHO,THOMAS_GUI,CA_ROAD_SY,HIGHWAY_PL,ASSET_STAT,CREATOR,CREATED,EDITOR,EDITED,SHAPE_LENG,SHAPE_LEN
6326509.77238156,1824813.7670238,DPW-DRNCHN-100744,15-34,RF,CENTRAL AV,30000-020,0700,AUDUBON CT,BELLE BONNIE BRAE RD,676.7628807,0,,,CONCRETE,,44,5,57,,,1,,,,,0,,,4,1,,,1 - DIVISION 1,15,020 - BONITA,1 - SUPERVISOR DISTRICT 1,SWEETWATER CPG,,1311-A1,15Y35-J10,7G5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,79.36785249,79.3678524928
6324102.30377132,1823482.85498746,DPW-DRNCHN-100745,15-36,RF,BONITA GLEN TR,26000-020,0200,GLEN VIEW PL,GLEN VERDE DR,275.83962091,0,,,CONCRETE,,44,7,52,,,1,,,,,0,,,1,1,,,1 - DIVISION 1,15,020 - BONITA,1 - SUPERVISOR DISTRICT 1,SWEETWATER CPG,,1310-J2,15Y35-H10,7G5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,96.11117893,96.1111789352
6336096.64953323,1844982.62071487,DPW-DRNCHN-100700,14-38,RF,SOUTH BARCELONA ST,44000-060,1800,LEDGESIDE ST,END,160.0957,0,,,NATURAL,,8,6,15,,,2,,,,,0,,,3,6,,,1 - DIVISION 1,14,060 - CASA DE ORO,2 - SUPERVISOR DISTRICT 2,SPRING VALLEY CPG,,1291-D1,16Y31-B3,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,15.17662539,15.1766253843
6337673.96986939,1852203.49505264,DPW-DRNCHN-100001,14-37,RF,FONDO RD,26700-060,0100,S GRANADA AV,BUENA VISTA DR,851.33394757,0,,,,,0,0,0,,,,,,,,0,,,,,,,1 - DIVISION 1,14,060 - CASA DE ORO,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-E5,16Y31-C1,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,792.12709437,792.127094372
6363925.88488515,1848453.88378546,DPW-DRNCHN-100002,14-29,RF,JAMUL DR,F13-0-220,0400,FOWLER CANYON RD,STONEFIELD DR,17.07533621,0,,,,,50,10,50,,,3,,,,,0,,,4,5,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,JAMUL-DULZURA CPG,,1272-E6,16Y32-A2,6F1,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,61.39265277,61.392652769
6340410.95389673,1859271.2099198,DPW-DRNCHN-100701,14-05,RF,FUERTE DR,F04-0-350,0200,ALTA RICA DR,CRESTLAND DR,123.85740951,0,,,Other/Undetermined,,2,2,1000,,,5,,,,,0,,,1,6,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-E2,16Y21-D9,7E5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,633.5038968,633.503896797
6345643.21016447,1849678.78127004,DPW-DRNCHN-100003,14-01,RF,JAMACHA BL,D22-0-060,0800,TRACE RD,SR-94 (CAMPO RD),3097.73632478,0,,,,,15,8,10,,,3,,,,,0,,,3,6,,,1 - DIVISION 1,14,060 - CASA DE ORO,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-H6,16Y31-E2,7F6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,209.24810937,209.248109367
6349153.66114882,1859080.66174446,DPW-DRNCHN-100702,14-10,RF,FUERTE DR,F04-0-350,1500,DAMON LN,SHADOW GLEN,2275.00735909,0,,,NATURAL,,10,7,350,,,2,,,,,0,,,4,5,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-J2,16Y21-F9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,448.08102509,448.081025098
6351648.66239239,1860379.29759863,DPW-DRNCHN-100703,14-12,RF,FUERTE DR,F04-0-350,2000,SHADOW KNOLLS DR,CHASE AV,66.38247127,0,,,CONCRETE,,3,2,150,,,1,,,,,0,,,3,5,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-A2,16Y21-G8,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,150.38640246,150.386402449
6348938.44504382,1862088.55074179,DPW-DRNCHN-100704,14-13,RF,CHASE AV,F04-1-350,0600,BERNITA RD,GROVE RD,51.23484956,0,,,CONCRETE,,3,2,150,,,1,,,,,0,,,4,1,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-J1,16Y21-F8,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,220.42094974,220.420949743
6357109.36046048,1866879.41189496,DPW-DRNCHN-100705,14-14,RF,DEHESA RD,F08-0-195,0200,EC CL LEAVE,VISTA GRANDE RD,252.67195173,0,,,NATURAL,,8,4,300,,,2,,,,,0,,,4,1,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,CREST-DEHESA CPG,,1252-C6,16Y21-J6,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,268.29988076,268.299880764
6357458.50674382,1866628.29199038,DPW-DRNCHN-100706,14-15,RF,DEHESA RD,F08-0-195,0200,EC CL LEAVE,VISTA GRANDE RD,694.94751589,0,,,NATURAL,,6,4,200,,,2,,,,,0,,,4,1,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,CREST-DEHESA CPG,,1252-C6,16Y21-J6,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,37.51254644,37.5125464391
6365422.28379522,1867226.89118688,DPW-DRNCHN-100707,14-16,RF,DEHESA RD,F08-0-195,0700,SINGING VISTA DR,WILLOW GLEN DR,2640.11923363,0,,,NATURAL,,10,6,300,,,2,,,,,0,,,4,5,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,CREST-DEHESA CPG,,1252-F6,16Y22-B6,6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,133.6871528,133.687152806
6366633.36733106,1859034.16249363,DPW-DRNCHN-100708,14-17,RF,WILLOW GLEN DR,F11-0-195,0500,CAM DE LAS PIEDRAS,MILE POST 03.0,1571.7366411,0,,,NATURAL,,4,4,100,,,2,,,,,0,,,4,1,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-F2,16Y22-B9,6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,99.5822094,99.5822093928
6364908.88259107,1857815.16001038,DPW-DRNCHN-100709,14-18,RF,WILLOW GLEN DR,F11-0-195,0600,MILE POST 03.0,WILLOW GLEN LN,1503.92249607,0,,,NATURAL,,15,4,300,,,2,,,,,0,,,4,5,,,1 - DIVISION 1,17,080 - DEHESA,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-F2,16Y22-B9,6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,289.03631299,289.036312995
6352469.65123598,1822097.97422704,DPW-DRNCHN-100004,14-20,RF,PROCTOR VALLEY RD,D25-1-220,1000,MILE POST 05.0,MILE POST 06.0,4265.81649886,0,,,,,100,2,40,,,3,,,,,0,,,4,6,,,1 - DIVISION 1,14,220 - JAMUL,1 - SUPERVISOR DISTRICT 1,JAMUL-DULZURA CPG,,1312-B2,16Y41-H1,7,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,41.28209387,41.2820938594
6349985.06499781,1820139.82197538,DPW-DRNCHN-100710,14-21,RF,PROCTOR VALLEY RD,D25-1-220,1100,MILE POST 06.0,END CMR,0,0,,,NATURAL,,40,3,20,,,2,,,,,0,,,4,4,,,Other/Undetermined,Other/Undetermined,Other/Undetermined,1 - SUPERVISOR DISTRICT 1,Other/Undetermined,,1312-A3,16Y41-G1,7,ACTIVE,SANGIS,2016/06/11,MPLUMMER,2016/07/26,34.21359167,34.2135916798
6375741.65193598,1817469.28072855,DPW-DRNCHN-100711,14-23,RF,OTAY LAKES RD,G06-0-220,0400,MILE POST 10.0,MILE POST 09.0,155.54361763,0,,,NATURAL,,20,1,20,,,2,,,,,0,,,1,4,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,JAMUL-DULZURA CPG,,1313-A4,16Y42-E2,6G1,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,59.31848888,59.3184888842
6395472.24141173,1822260.97258872,DPW-DRNCHN-100712,14-25,RF,HONEY SPRINGS RD,F20-B-220,0400,MILE POST 15.0,MILE POST 14.0,570.46455065,0,,,NATURAL,,50,10,20,,,2,,,,,0,,,3,6,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,JAMUL-DULZURA CPG,,1313-J1,16Y43-B1,6G2,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,57.43915804,57.4391580343
6340709.30861498,1844549.88798454,DPW-DRNCHN-100005,14-03,RF,SWEETWATER SPRINGS BL,45200-060,1300,JAMACHA BL,WILLIE BAKER WY,140.68981551,0,,,,,15,10,15,,,3,,,,,0,,,3,4,,,1 - DIVISION 1,14,060 - CASA DE ORO,2 - SUPERVISOR DISTRICT 2,SPRING VALLEY CPG,,1291-F1,16Y31-D3,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,88.47091508,88.4709150709
6356672.48928697,1851300.67435171,DPW-DRNCHN-100713,14-30,RF,STEELE CANYON RD,F12-0-220,0100,WILLOW GLEN DR/MEDINAH DR,HEATHERWOOD DR,395.52516205,0,,,NATURAL,,300,12,20,,,2,,,,,0,,,4,6,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-C5,16Y31-J1,7F6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,59.47104829,59.4710482916
6356817.19240965,1850818.3311563,DPW-DRNCHN-100714,14-31,RF,STEELE CANYON RD,F12-0-220,0100,WILLOW GLEN DR/MEDINAH DR,HEATHERWOOD DR,895.44218703,0,,,NATURAL,,8,12,20,,,2,,,,,0,,,4,6,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-C5,16Y31-J1,7F6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,65.60740645,65.6074064558
6353540.53557715,1857762.89502305,DPW-DRNCHN-100715,14-32,RF,HILLSDALE RD,F10-0-195,0100,SR-54 (JAMACHA RD),JALISCO RD,270.78994633,0,,,NATURAL,,6,4,300,,,2,,,,,0,,,4,4,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-B3,16Y21-H9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,509.74894392,509.748943923
6354055.4056104,1857758.08007205,DPW-DRNCHN-100716,14-33,RF,HILLSDALE RD,F10-0-195,0200,JALISCO RD,HILLSDALE LN,257.34216671,0,,,NATURAL,,15,5,20,,,2,,,,,0,,,4,1,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-B3,16Y21-H9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,37.99058868,37.9905886935
6355608.81064007,1857682.75181063,DPW-DRNCHN-100006,14-34,RF,HILLSDALE RD,F10-0-195,0600,LA VALHALLA HS DY,WIND RIVER RD,26.75977092,0,,,,,10,8,25,,,,,,,,0,,,4,6,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-B3,16Y21-J9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,145.2743557,145.274355699
6353634.87429923,1858522.50045921,DPW-DRNCHN-100717,14-36,RF,SUNDALE RD (E),58800-195,0100,SUNDALE RD (W)/SR 54,HOLLOW PL/SUNDALE RD,347.07378241,0,,,NATURAL,,15,6,20,,,2,,,,,0,,,4,1,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-A2,16Y21-H9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,50.26113953,50.2611395354
6346465.78365056,1857874.02111313,DPW-DRNCHN-100718,14-07,RF,FUERTE DR,F04-0-350,1200,FUERTE FARMS RD,LORENA LN,199.05255582,0,,,CONCRETE,,10,3,10,,,1,,,,,0,,,2,6,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-H3,16Y21-F9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,49.63478275,49.6347827459
6348697.8907349,1857844.9844258,DPW-DRNCHN-100719,14-09,RF,FUERTE DR,F04-0-350,1500,DAMON LN,SHADOW GLEN,709.20593308,0,,,NATURAL,,10,3,10,,,2,,,,,0,,,4,4,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-J3,16Y21-F9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,65.22160477,65.2216047741
6350146.24512164,1860487.49751346,DPW-DRNCHN-100720,14-11,RF,FUERTE DR,F04-0-350,1800,CHASE LN,FUERTE HILLS DR,84.90964042,0,,,NATURAL,,6,2,100,,,2,,,,,0,,,4,1,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-J2,16Y21-G8,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,79.3013086,79.3013086009
6370741.27676615,1814513.44871372,DPW-DRNCHN-100721,14-22,RF,OTAY LAKES RD,G06-0-220,0500,MILE POST 09.0,MILE POST 08.0,2609.42623722,0,,,NATURAL,,20,4,20,,,2,,,,,0,,,4,5,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,JAMUL-DULZURA CPG,,1312-J5,16Y42-D3,6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,70.98188099,70.9818809816
6342632.54689448,1858701.74616371,DPW-DRNCHN-100722,14-06,RF,FUERTE DR,F04-0-350,0600,CALAVO DR,PANCHOY DR,263.41579672,0,,,Other/Undetermined,,2,2,1000,,,5,,,,,0,,,1,6,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-F2,16Y21-D9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,829.13602908,829.136029095
6346479.56118207,1857873.10674489,DPW-DRNCHN-100723,14-08,RF,FUERTE DR,F04-0-350,1200,FUERTE FARMS RD,LORENA LN,204.71755832,0,,,NATURAL,,10,8,30,,,2,,,,,0,,,3,5,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-H3,16Y21-F9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,61.84155733,61.8415573126
6361252.93485048,1856250.20940013,DPW-DRNCHN-100724,14-19,RF,WILLOW GLEN DR,F11-0-195,0700,WILLOW GLEN LN,HILLSDALE RD,349.53464985,0,,,NATURAL,,25,8,80,,,2,,,,,0,,,1,3,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1272-D3,16Y21-K10,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,124.78040265,124.780402657
6403087.48011823,1824929.99743438,DPW-DRNCHN-100725,14-26,RF,HONEY SPRINGS RD,F20-B-220,0200,MILE POST 17.0,MILE POST 16.0,2090.04126877,0,,,NATURAL,,20,5,20,,,2,,,,,0,,,4,6,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,JAMUL-DULZURA CPG,,1294-C7,16Y33-D10,6G2,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,135.7943575,135.794357502
6359975.71988523,1866265.11489521,DPW-DRNCHN-100726,14-35,RF,VISTA GRANDE RD,65360-195,1500,CALLE POCO,DEHESA RD,889.9878021,0,,,NATURAL,,10,8,15,,,2,,,,,0,,,4,1,,,1 - DIVISION 1,14,195 - HILLSDALE,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1252-D6,16Y21-K6,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,29.30749252,29.3074925227
6405773.90387923,1826051.55621488,DPW-DRNCHN-100727,14-27,RF,HONEY SPRINGS RD,F20-B-220,0100,DEERHORN VALLEY RD,MILE POST 17.0,1787.75073712,0,,,NATURAL,,20,5,20,,,2,,,,,0,,,4,6,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,JAMUL-DULZURA CPG,,1294-D7,16Y33-E9,6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,40.03313217,40.0331321776
6339958.18511723,1843488.95342663,DPW-DRNCHN-100007,14-02,RF,JAMACHA BL,D22-0-060,0300,POINTE PY,SWEETWATER SPRINGS BL,852.23509962,0,,,,,10,5,50,,,2,,,,,0,,,1&2,3,,,1 - DIVISION 1,14,060 - CASA DE ORO,2 - SUPERVISOR DISTRICT 2,SPRING VALLEY CPG,,1291-E1,16Y31-C4,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,48.25787872,48.2578787297
6338192.82414664,1841014.00693296,DPW-DRNCHN-100008,14-04,RF,JAMACHA BL,D22-0-295,2000,MAYA ST,WHITESTONE RD,1554.53648597,0,,,,,15,6,10,,,2,,,,,0,,,3,5,,,1 - DIVISION 1,15,295 - LA PRESA,2 - SUPERVISOR DISTRICT 2,SPRING VALLEY CPG,,1291-E2,16Y31-C5,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,14.23711787,14.2371178647
6403411.75932531,1809590.98710196,DPW-DRNCHN-100009,14-24,RF,MARRON VALLEY RD,G04-0-220,0100,SR-94,END,0,0,,,,,20,6,20,,,2,,,,,0,,,4,6,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,JAMUL-DULZURA CPG,,1314-C6,16Y43-D5,6,ACTIVE,SANGIS,2016/06/11,MPLUMMER,2016/07/21,20.02655501,20.0265550049
6369009.92097689,1842811.35373196,DPW-DRNCHN-100010,14-39,RF,OLIVE VISTA DR,37000-220,0100,LYONS VALLEY RD,JEFFERSON RD,350.90607337,0,,,,,15,20,20,,,2,,,,,0,,,4,6,,,1 - DIVISION 1,14,220 - JAMUL,2 - SUPERVISOR DISTRICT 2,JAMUL-DULZURA CPG,,1292-G1,16Y32-C4,6F1,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,16.03228765,16.0322876416
6339613.26421915,1855469.09318021,DPW-DRNCHN-100011,14-40,RF,CHALLENGE BL,20000-350,0500,VISTA WY,LARIAT LN,9.55724503,0,,,,,10,5,20,,,2,,,,,0,,,4,6,,,1 - DIVISION 1,14,060 - CASA DE ORO,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-E4,16Y21-C10,7E5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,20.48911996,20.4891199753
6346740.57739231,1857883.74123804,DPW-DRNCHN-100012,14-41,RF,FUERTE DR,F04-0-350,1300,LORENA LN,VERNETTE DR,65.80228608,0,,,,,10,6,15,,,2,,,,,0,,,4,1,,,1 - DIVISION 1,14,350 - MT HELIX/CALAVO GARDENS,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-H3,16Y21-F9,7E6,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,14.60420191,14.6042019043
6334586.58135915,1852588.15799722,DPW-DRNCHN-100728,15-09,RF,KENWOOD DR,31200-500,0100,CAMPO RD,KENORA DR,141.62449144,0,,,CONCRETE,,12,6,49,,,1,,,,,0,,,2,1,,,1 - DIVISION 1,14,060 - CASA DE ORO,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-C5,16Y31-B1,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,94.05994289,94.0599428952
6334480.96969374,1852442.93847138,DPW-DRNCHN-100729,15-10,RF,KENORA DR,30990-500,0100,KENWOOD DR,END CMR,68.29661158,0,,,CONCRETE,,18,6,163,,,1,,,,,0,,,2,1,,,1 - DIVISION 1,15,500 - SPRING VALLEY,2 - SUPERVISOR DISTRICT 2,VALLE DE ORO CPG,,1271-C5,16Y31-B1,7F5,ACTIVE,SANGIS,2016/06/11,SANGIS,2016/06/11,135.040516,135.04051601
