CONDITION,OUTCOME,YEAR,Geography,RegionName,Total_Cases,Total_Rate,Age_Adjusted_Rate,Male_Cases,Male_Rate,Female_Cases,Female_Rate,White_Cases,White_Rate,Black_Cases,Black_Rate,Hispanic_Cases,Hispanic_Rate,Asian_Pacific_Islander_Cases,Asian_Pacific_Islander_Rate,Other_Race_Ethnicity_Cases,Other_Race_Ethnicity_Rate,Age_Group_0_to_14_Cases,Age_Group_0_to_14_Rate,Age_Group_15_to_24_Cases,Age_Group_15_to_24_Rate,Age_Group_25_to_44_Cases,Age_Group_25_to_44_Rate,Age_Group_45_to_64_Cases,Age_Group_45_to_64_Rate,Age_Group_65Plus_Cases,Age_Group_65Plus_Rate
Flu,Hospitalization,2010,Palomar-Julian,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Pauma,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Poway,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Ramona,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,San Marcos,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Valley Center,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,South Region,REGION SOUTH,23,4.909442138,5.207513429,12,5.126496296,11,4.692692624,6,6.114213508,,,11,3.960738282,,,,,,,,,5,3.79049193,5,4.716447195,7,14.41456283
Flu,Hospitalization,2010,Chula Vista,SOUTH,9,7.810194908,7.970734338,,,5,8.376191513,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Coronado,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,National City,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,South Bay,SOUTH,9,6.670916287,7.603795024,6,8.815750808,,,,,,,6,6.491258439,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Sweetwater,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2010,Unknown,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,San Diego County (Actual Rate),COUNTY,319,10.23810823,10.50466687,157,10.04613544,162,10.43128871,131,8.759131896,22,15.39484273,107,10.58584228,25,7.168993244,26,22.06849722,49,8.256594744,12,2.407018867,44,4.938687319,73,9.468591515,141,38.96017772
Flu,Hospitalization,2011,Central Region,REGION CENTRAL,63,12.97449585,14.71012324,29,11.6890236,34,14.31747743,8,5.621332959,16,29.16621094,28,13.47319796,7,10.84497877,,,6,6.659858811,,,13,7.995817572,22,20.27089284,19,43.12105669
Flu,Hospitalization,2011,Central San Diego,CENTRAL,21,12.65319403,13.20199913,10,11.03959904,11,14.59214942,5,6.108735492,,,12,20.46105579,,,,,,,,,,,10,25.8611772,,
Flu,Hospitalization,2011,Mid-City,CENTRAL,22,13.48072257,16.87256319,12,14.7652328,10,12.20643523,,,,,7,10.06296541,6,25.22492222,,,,,,,6,11.84062519,,,8,61.9818703
Flu,Hospitalization,2011,Southeastern San Diego,CENTRAL,20,12.78723323,15.13812108,7,9.181411576,13,16.21655336,,,8,32.06798413,9,11.30511242,,,,,,,,,,,8,21.99010445,9,59.57897524
Flu,Hospitalization,2011,East Region,REGION EAST,59,12.64330869,12.75755036,27,11.74980743,32,13.51014739,31,11.11011558,,,10,8.408024619,,,11,51.32512131,6,6.72909774,,,13,10.75233243,11,8.546610104,28,47.87061257
Flu,Hospitalization,2011,Alpine,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,El Cajon,EAST,12,9.579844008,10.38025062,6,9.780588791,6,9.387173991,6,8.161044614,,,,,,,,,,,,,,,,,6,39.66942149
Flu,Hospitalization,2011,Harbison Crest/El Cajon,EAST,25,17.85280718,18.85615556,11,16.00838257,14,19.62983735,13,15.27040361,,,5,13.81253626,,,6,86.95652174,,,,,8,22.29219495,,,12,67.75450285
Flu,Hospitalization,2011,Jamul,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,La Mesa,EAST,10,16.67055646,12.10048192,5,17.46602857,5,15.94438598,,,,,,,,,,,,,,,,,,,7,79.0513834
Flu,Hospitalization,2011,Laguna-Pine Valley,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Lakeside,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Lemon Grove,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Mountain Empire,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Santee,EAST,5,9.672489505,11.04893179,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Spring Valley,EAST,7,8.563948225,8.804998773,5,12.5735553,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,North Central Region,REGION N CENTRAL,51,8.364152228,8.975388362,29,9.401786988,22,7.301862307,31,8.488522696,,,8,9.117536442,8,7.175209651,,,12,12.71415403,,,5,2.581791143,8,5.537366844,22,29.86006488
Flu,Hospitalization,2011,Coastal,N CENTRAL,7,9.264774006,12.49043935,5,12.83993734,,,7,11.5462013,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Del Mar-Mira Mesa,N CENTRAL,9,5.678878358,7.498308855,6,7.556294393,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Elliott-Navajo,N CENTRAL,9,10.06429969,9.287654188,,,6,13.0332783,8,13.35670757,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Kearny Mesa,N CENTRAL,19,12.5250501,13.22054478,11,14.5573892,8,10.50792692,10,11.91284562,,,5,14.67351431,,,,,5,21.27659574,,,,,,,9,46.4300454
Flu,Hospitalization,2011,Miramar,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Peninsula,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,University,N CENTRAL,5,7.520832707,11.17131801,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,North Coastal Region,REGION N COASTAL,23,4.511334237,4.41047762,9,3.465804067,14,5.596709135,9,3.009781791,,,7,4.768847165,,,,,5,4.975470928,,,,,7,5.520635346,7,11.3568149
Flu,Hospitalization,2011,Carlsbad,N COASTAL,6,5.178842701,4.261710249,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Oceanside,N COASTAL,8,4.997033012,5.140653982,,,5,6.200473716,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Pendleton,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,San Dieguito,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Vista,N COASTAL,6,5.921305845,5.634345893,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,North Inland Region,REGION N INLAND,66,11.486951,10.72543394,35,12.36626765,31,10.63329869,41,13.06235842,,,17,10.09549147,,,,,14,11.79771967,,,5,3.401244856,15,9.708046676,32,42.87245445
Flu,Hospitalization,2011,Anza-Borrego Springs,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Escondido,N INLAND,31,18.87608157,18.35540296,16,19.63431096,15,18.12929815,18,25.51960757,,,10,13.20655045,,,,,6,16.61267547,,,5,11.04728237,6,15.33428747,14,78.53256297
Flu,Hospitalization,2011,Fallbrook,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,North San Diego,N INLAND,12,11.15086187,9.962221069,6,11.5311437,6,10.79486165,9,14.3298411,,,,,,,,,,,,,,,,,8,60.1097002
Flu,Hospitalization,2011,Palomar-Julian,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Pauma,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Poway,N INLAND,10,11.50734744,10.66143834,5,11.77856302,5,11.24834087,6,10.35428926,,,,,,,,,,,,,,,,,6,53.28596803
Flu,Hospitalization,2011,Ramona,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,San Marcos,N INLAND,6,6.65276977,6.54198084,5,11.33375646,,,5,11.12743134,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Valley Center,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,South Region,REGION SOUTH,57,12.14173882,13.28118097,28,11.97896835,29,12.30314961,11,11.44176661,,,37,13.16215418,,,,,6,5.960363582,,,5,3.838977911,10,9.263290506,33,66.8002672
Flu,Hospitalization,2011,Chula Vista,SOUTH,23,19.84246806,19.07406863,11,19.70337465,12,19.97170675,,,,,17,20.59981824,,,,,,,,,,,,,17,115.8985547
Flu,Hospitalization,2011,Coronado,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,National City,SOUTH,10,17.09664735,18.23096087,8,26.65778074,,,,,,,6,15.97486621,,,,,,,,,,,,,,
Flu,Hospitalization,2011,South Bay,SOUTH,20,14.80100055,17.51211382,8,11.75606172,12,17.89015445,5,24.85707184,,,12,12.864494,,,,,,,,,,,,,13,98.48484848
Flu,Hospitalization,2011,Sweetwater,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2011,Unknown,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,San Diego County (Actual Rate),COUNTY,199,6.330666288,6.383479517,97,6.155044948,102,6.507235152,96,6.432936636,13,9.326818909,59,5.69923862,17,4.776152949,14,11.61199353,35,5.811588307,7,1.392436286,21,2.359415359,42,5.427183989,94,25.09778792
Flu,Hospitalization,2012,Central Region,REGION CENTRAL,26,5.31962779,5.976362027,12,4.809426476,14,5.851717479,8,5.649757414,,,11,5.179907609,,,,,6,6.503994537,,,,,6,5.484109792,8,17.73521327
Flu,Hospitalization,2012,Central San Diego,CENTRAL,8,4.795588059,5.826416284,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Mid-City,CENTRAL,10,6.064171058,7.64028001,5,6.089614771,5,6.038939079,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Southeastern San Diego,CENTRAL,8,5.094470589,4.698644813,,,5,6.210254372,,,,,6,7.399368587,,,,,,,,,,,,,,
Flu,Hospitalization,2012,East Region,REGION EAST,34,7.234273434,6.984429381,13,5.613562367,21,8.808613986,15,5.39221149,,,5,4.074581133,,,9,40.9370025,6,6.672078464,,,7,5.804456164,7,5.460899956,12,19.58384333
Flu,Hospitalization,2012,Alpine,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,El Cajon,EAST,8,6.346838878,6.285596033,,,6,9.338376056,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Harbison Crest/El Cajon,EAST,14,9.934996736,9.620775009,6,8.667764584,8,11.15853488,5,5.891502097,,,,,,,5,70.95217823,,,,,,,,,,
Flu,Hospitalization,2012,Jamul,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,La Mesa,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Laguna-Pine Valley,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Lakeside,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Lemon Grove,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Mountain Empire,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Santee,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Spring Valley,EAST,5,6.081615277,6.5193919,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,North Central Region,REGION N CENTRAL,29,4.714734195,4.886237171,11,3.537409716,18,5.918502224,15,4.109971888,,,,,6,5.258268627,,,6,6.251628028,,,,,,,14,18.4057952
Flu,Hospitalization,2012,Coastal,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Del Mar-Mira Mesa,N CENTRAL,7,4.372567759,5.229401927,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Elliott-Navajo,N CENTRAL,5,5.539675153,6.084706177,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Kearny Mesa,N CENTRAL,9,5.903923485,5.482368923,,,5,6.534410204,,,,,,,,,,,,,,,,,,,5,25.40779511
Flu,Hospitalization,2012,Miramar,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Peninsula,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,University,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,North Coastal Region,REGION N COASTAL,22,4.276810743,3.862024252,13,4.960961053,9,3.566390337,15,5.014257205,,,5,3.326193105,,,,,,,,,,,,,13,20.39375637
Flu,Hospitalization,2012,Carlsbad,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Oceanside,N COASTAL,10,6.202588961,5.557967111,5,6.247032659,5,6.158773172,6,8.17628061,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Pendleton,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,San Dieguito,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Vista,N COASTAL,5,4.898119122,5.210206517,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,North Inland Region,REGION N INLAND,57,9.796356099,9.173120851,36,12.56417326,21,7.110930516,38,12.11908597,,,14,8.060755062,5,7.999616018,,,7,5.850348096,,,,,15,9.657854411,32,41.10310457
Flu,Hospitalization,2012,Anza-Borrego Springs,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Escondido,N INLAND,25,15.11140125,16.11706322,15,18.28755349,10,11.98825151,16,22.93216379,,,7,9.03272427,,,,,,,,,,,6,15.28740318,16,87.71448934
Flu,Hospitalization,2012,Fallbrook,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,North San Diego,N INLAND,14,12.62091285,11.78087854,8,14.91618966,6,10.47230076,11,17.15158886,,,,,,,,,,,,,,,5,16.44412287,8,56.58909245
Flu,Hospitalization,2012,Palomar-Julian,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Pauma,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Poway,N INLAND,6,6.866166962,5.677218284,,,,,5,8.649172274,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Ramona,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,San Marcos,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Valley Center,N INLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,South Region,REGION SOUTH,31,6.549148188,7.08519606,12,5.099569086,19,7.982187119,5,5.270147775,,,21,7.342914088,,,,,6,5.875440658,,,,,6,5.503476363,15,29.70826484
Flu,Hospitalization,2012,Chula Vista,SOUTH,15,12.86416301,13.06211827,8,14.25059674,7,11.57694534,,,,,9,10.7372942,,,,,,,,,,,,,7,47.32287723
Flu,Hospitalization,2012,Coronado,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,National City,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,South Bay,SOUTH,10,7.375066376,7.982253803,,,7,10.38359985,,,,,9,9.531374106,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Sweetwater,SOUTH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2012,Unknown,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,San Diego County (Actual Rate),COUNTY,783,24.82110104,24.6824352,358,22.66452514,425,26.98390426,411,27.67844516,42,31.50338661,179,16.96788614,78,21.63463539,62,51.2913847,87,14.39384539,16,3.163161817,62,7.016678191,131,16.9124349,487,126.1203867
Flu,Hospitalization,2013,Central Region,REGION CENTRAL,129,26.3222331,31.40583294,58,23.1799725,71,29.60010673,44,31.18886274,28,55.32722099,28,12.9567845,23,34.90666262,,,19,20.40882091,,,17,10.43296818,22,19.99436522,67,145.0090901
Flu,Hospitalization,2013,Central San Diego,CENTRAL,40,23.83790226,25.94412485,23,25.14595587,17,22.27054786,18,22.07884601,9,86.89775031,8,13.09671927,,,,,,,,,6,8.546643306,11,27.95141536,19,109.5922016
Flu,Hospitalization,2013,Mid-City,CENTRAL,46,27.89637105,37.3258738,17,20.70065633,29,35.03557923,19,42.03353834,11,62.42197253,6,8.299099548,8,32.82724661,,,7,20.28985507,,,7,13.71500225,,,28,207.6535153
Flu,Hospitalization,2013,Southeastern San Diego,CENTRAL,43,27.32170996,31.64606316,18,23.49041461,25,30.95706874,7,48.78728743,8,35.35286579,14,16.92415561,13,39.89810637,,,9,24.85432603,,,,,9,24.85981825,20,130.0136514
Flu,Hospitalization,2013,East Region,REGION EAST,153,32.43504511,30.53764361,64,27.52498753,89,37.20798007,83,29.92101573,,,37,29.38910379,,,28,127.2149023,18,20.10476818,,,14,11.63302783,36,28.26389052,83,129.8884212
Flu,Hospitalization,2013,Alpine,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,El Cajon,EAST,47,37.25516618,36.220315,16,25.88201039,31,48.18303336,24,32.8924827,,,11,30.90495322,,,11,169.1526988,,,,,6,18.12743587,10,31.47425406,26,160.9807442
Flu,Hospitalization,2013,Harbison Crest/El Cajon,EAST,65,46.04736503,43.75774885,23,33.19286498,42,58.44128738,34,40.21955143,,,17,44.63699619,,,13,184.7378144,6,21.75726149,,,7,19.48286899,11,29.90105469,39,204.3810921
Flu,Hospitalization,2013,Jamul,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,La Mesa,EAST,31,51.35851557,39.71969244,13,44.93915929,18,57.26648002,19,51.38746146,,,6,45.94532506,,,5,182.9491401,,,,,,,5,32.34780358,22,235.7984995
Flu,Hospitalization,2013,Laguna-Pine Valley,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,Lakeside,EAST,7,12.23305722,11.47164382,,,5,17.3100225,5,12.18679926,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,Lemon Grove,EAST,14,46.49000465,44.52927064,8,54.61123626,6,38.79728419,,,,,,,,,5,392.1568627,,,,,,,8,104.5751634,,
Flu,Hospitalization,2013,Mountain Empire,EAST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,Santee,EAST,14,26.75892123,26.40896208,9,35.51276487,5,18.53499407,11,28.79128933,,,,,,,,,,,,,,,,,9,132.022884
Flu,Hospitalization,2013,Spring Valley,EAST,15,18.18777054,17.1646907,7,17.44765703,8,18.88886265,6,15.87469573,,,7,24.83854943,,,,,,,,,,,6,27.77134922,7,66.95361071
Flu,Hospitalization,2013,North Central Region,REGION N CENTRAL,118,19.07619485,18.39515457,53,16.96825336,65,21.22629186,72,19.76024239,,,15,16.24748164,17,14.63750646,9,32.59688519,6,6.193804131,,,5,2.562762042,17,11.68842777,89,113.8995892
Flu,Hospitalization,2013,Coastal,N CENTRAL,21,27.63521516,17.66793881,10,25.53756576,11,29.86533449,19,31.48510258,,,,,,,,,,,,,,,,,18,139.5781638
Flu,Hospitalization,2013,Del Mar-Mira Mesa,N CENTRAL,23,14.28748913,16.94245636,7,8.706251088,16,19.85653652,6,7.91316619,,,,,11,19.08794336,,,,,,,,,8,17.10534756,13,79.71058925
Flu,Hospitalization,2013,Elliott-Navajo,N CENTRAL,20,22.09090407,17.36102425,10,22.71797901,10,21.49751704,12,20.06319908,,,,,,,,,,,,,,,,,17,116.3745893
Flu,Hospitalization,2013,Kearny Mesa,N CENTRAL,36,23.41295907,20.89835353,17,22.22076988,19,24.59355908,20,23.88373398,,,,,6,28.63961814,5,70.18528916,,,,,,,,,27,132.9983745
Flu,Hospitalization,2013,Miramar,N CENTRAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,Peninsula,N CENTRAL,5,7.960008915,9.018418168,,,,,5,10.66416414,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,University,N CENTRAL,13,18.73441801,21.44352427,6,17.4540377,7,19.99143224,10,28.78277639,,,,,,,,,,,,,,,,,11,169.2047377
Flu,Hospitalization,2013,North Coastal Region,REGION N COASTAL,100,19.50058989,17.52935238,47,18.0952271,53,20.94298766,71,23.95670248,,,13,8.527777596,5,15.71240023,8,41.94630872,17,16.46840005,,,,,9,7.113274952,69,105.0932131
Flu,Hospitalization,2013,Carlsbad,N COASTAL,21,17.76153866,13.52720685,9,15.66116206,12,19.74788533,20,23.41920375,,,,,,,,,,,,,,,,,15,75.57817302
Flu,Hospitalization,2013,Oceanside,N COASTAL,34,21.0487216,19.88679499,21,26.22901679,13,15.95757739,17,23.29054267,,,7,11.11446309,,,5,74.09602845,9,25.61329615,,,,,5,12.89856568,18,92.44992296
Flu,Hospitalization,2013,Pendleton,N COASTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flu,Hospitalization,2013,San Dieguito,N COASTAL,25,25.98401463,18.38547966,10,21.10862498,15,30.71315957,23,30.98519447,,,,,,,,,,,,,,,,,22,143.0522141
Flu,Hospitalization,2013,Vista,N COASTAL,20,19.4641519,18.78670883,7,13.53179973,13,25.47870568,11,25.66375811,,,5,10.00800641,,,,,,,,,,,,,14,128.346168
