INSTNM,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,MD_EARN_WNE_P8,MD_EARN_WNE_P6
Trend Setters' Academy of Beauty Culture-Elizabethtown,NULL,12130,15500,15100,12800
Traxlers School of Hair,NULL,8136,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Infinity Career College,NULL,10111,20400,13600,13400
Vatterott College-Berkeley,NULL,17690,28300,25700,21400
Metro Business College-Rolla,NULL,11124,20100,17700,18400
Metro Business College-Jefferson City,NULL,11437,20100,17700,18400
Warren County Community College,8288,NULL,31600,29500,23300
St. John's College,NULL,24127,27600,24200,22900
Yeshiva and Kollel Harbotzas Torah,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Bais Medrash Elyon,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Antioch University-Los Angeles,NULL,NULL,33800,33600,30900
Antioch University-Santa Barbara,NULL,NULL,33800,33600,30900
Antioch University-New England,NULL,NULL,33800,33600,30900
Antioch University-Seattle,NULL,24616,33800,33600,30900
Antioch University-Midwest,NULL,NULL,33800,33600,30900
Mid-America Christian University,NULL,21495,39200,35600,33200
Platt College-Tulsa,NULL,27789,21500,22800,23300
Ponca City Beauty College,NULL,5184,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Francis Tuttle Technology Center,7721,NULL,30300,28600,28100
Career Point College,NULL,24637,20700,19000,16000
Central Technology Center,5412,NULL,25800,25700,23600
Carrington College-Portland,NULL,NULL,27100,25700,23900
Career Technology Center of Lackawanna County,21537,NULL,40000,35000,34300
Brightwood College-Nashville,NULL,22708,30600,21900,18400
Brightwood College-El Paso,NULL,19654,23000,21300,19600
Houston Graduate School of Theology,NULL,NULL,NULL,NULL,NULL
Palo Alto College,5214,NULL,27800,26300,23700
Sebring Career Schools-Huntsville,NULL,12778,16200,15400,13900
University of Cosmetology Arts & Sciences-San Antonio Perrin,NULL,15792,20400,19800,15200
Central Texas Beauty College-Round Rock,NULL,5720,15100,15600,16500
Empire Beauty School-Manitowoc,NULL,11308,16900,16900,16500
Unification Theological Seminary,NULL,NULL,NULL,NULL,NULL
Athens Technical College,6282,NULL,27300,23000,22900
Maricopa Skill Center,11987,NULL,29800,30400,30000
Carrington College-San Leandro,NULL,18252,29600,28100,24100
Headmasters School of Hair Design,NULL,21421,14500,11200,PrivacySuppressed
Razzle Dazzle College of Hair Design Inc,NULL,15537,15800,13800,PrivacySuppressed
Beckfield College-Florence,NULL,18336,29700,24400,28700
Dorsey Business Schools-Wayne,NULL,22674,22000,19500,18400
Ecumenical Theological Seminary,NULL,NULL,NULL,NULL,NULL
Ross Medical Education Center-Saginaw,NULL,17533,20200,19500,19300
Sussex County Community College,11564,NULL,30800,30600,23900
Landmark College,NULL,34921,22700,23000,20300
National American University-Independence,NULL,16266,36100,31100,27100
Yeshiva Gedolah of Greater Detroit,NULL,6164,NULL,NULL,NULL
Austin Graduate School of Theology,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Collin County Community College District,6210,NULL,36200,32300,29500
Owensboro Community and Technical College,6722,NULL,26400,23900,23400
Heads West Kentucky Beauty College,NULL,9476,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Jenny Lea Academy of Cosmetology,NULL,5970,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Empire Beauty School-Hurstborne,NULL,12191,16400,17200,16500
Southeast School of Cosmetology,NULL,7278,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Cloyd's Beauty School 3 Inc,NULL,6129,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Moore Norman Technology Center,1767,NULL,25000,28700,26900
Fayette County Career & Technical Institute Practical Nursing Program,9383,NULL,29800,40900,33200
Franklin County Career and Technology Center,18634,NULL,37000,39700,42300
Paul Mitchell the School-Knoxville,NULL,11705,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Ogle School Hair Skin Nails-Hurst,NULL,17414,24100,17500,18300
Fashion Institute of Design & Merchandising-San Diego,NULL,34525,35400,32400,29400
National American University-Albuquerque,NULL,NULL,36100,31100,27100
Tennessee College of Applied Technology Nashville,6782,NULL,27000,24800,23800
ECPI University,NULL,19290,37000,30500,27700
Branford Hall Career Institute-Jersey City,NULL,27632,44700,33100,26100
Paul Mitchell the School-Houston,NULL,17915,15600,16000,13800
TDDS Technical Institute,NULL,7315,31900,29900,31100
Fortis Institute-Forty Fort,NULL,18037,22800,20200,18900
Laurel Business Institute,NULL,7648,21000,17900,19300
Antonelli Medical and Professional Institute,NULL,19742,25800,25500,25600
Aviation Institute of Maintenance-Philadelphia,NULL,23983,34500,33000,32200
Fortis Institute-Mulberry,NULL,18555,22400,18600,18000
Carrington College-Westside,NULL,24183,25100,23300,23300
Dorsey Business Schools-Roseville,NULL,26417,22000,19500,18400
Moler-Pickens Beauty Academy,NULL,10243,19200,14900,15200
Red River Technology Center,4438,NULL,22100,22000,18500
Brightwood Career Institute-Harrisburg,NULL,19905,26200,20700,16900
ITT Technical Institute-Newburgh,NULL,25044,38800,33900,29300
Southern Union State Community College,7575,NULL,29000,26300,23300
South University-Columbia,NULL,23590,28800,31200,31300
Everest University-Brandon,NULL,23547,25700,23700,19000
Clinton Technical School,21932,NULL,NULL,NULL,NULL
Consolidated School of Business-Lancaster,NULL,8635,26400,25500,20300
Greene County Career and Technology Center,21842,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Lac Courte Oreilles Ojibwa Community College,5981,NULL,19100,15400,14900
Diesel Driving Academy-Shreveport,NULL,14114,PrivacySuppressed,PrivacySuppressed,28500
Pima Medical Institute-Mesa,NULL,14167,28200,25900,25000
Platt College-Los Angeles,NULL,30185,29600,29000,23900
Platt College-Aurora,NULL,39095,27500,29800,40800
Kaplan University-Davenport Campus,NULL,16181,33400,30900,25800
Kaplan University-Cedar Falls Campus,NULL,19281,33400,30900,25800
Paul Mitchell the School-Boise,NULL,15135,14700,12300,13900
Christian Life College,NULL,7702,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Knowledge Systems Institute,NULL,NULL,NULL,NULL,NULL
Educators of Beauty College of Cosmetology-Rockford,NULL,10873,14000,18000,15400
ITT Technical Institute-Arlington Heights,NULL,23135,38800,33900,29300
Northwestern College-Southwestern Campus,NULL,25522,29700,25900,23400
Tulsa Technology Center-Lemley Campus,16984,NULL,38200,27600,28900
Tulsa Technology Center-Riverside Campus,6688,NULL,38200,27600,28900
Tulsa Technology Center-Broken Arrow Campus,10381,NULL,38200,27600,28900
Douglas J Aveda Institute,NULL,20773,21500,21200,20500
ITT Technical Institute-Troy,NULL,23765,38800,33900,29300
Ross Medical Education Center-Brighton,NULL,17560,23200,22300,21800
Ross Medical Education Center-Ann Arbor,NULL,19291,23200,22300,21800
Taylortown School of Beauty Inc,NULL,15278,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Pike-Lincoln Technical Center,NULL,NULL,25300,PrivacySuppressed,PrivacySuppressed
Pennsylvania Institute of Health and Technology,NULL,11800,20100,19200,17200
Skyline College-Roanoke,NULL,19206,28000,22100,28000
Bethel Seminary-San Diego,NULL,NULL,45000,41300,38100
St Charles Community College,3368,NULL,32300,28600,25300
Brandman University,NULL,15369,NULL,NULL,NULL
New College of Florida,9552,NULL,PrivacySuppressed,PrivacySuppressed,21500
Arizona Academy of Beauty-North,NULL,12471,17400,16300,PrivacySuppressed
Empire Beauty School-Prescott,NULL,11343,17800,17500,16000
Le Cordon Bleu College of Culinary Arts-Scottsdale,NULL,17777,32300,28600,26100
Conservatory of Recording Arts and Sciences,NULL,24747,36400,31800,25700
Adrian's College of Beauty Turlock,NULL,12147,10400,PrivacySuppressed,PrivacySuppressed
California Career School,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Rolf Institute of Structural Integration,NULL,NULL,NULL,NULL,NULL
Heritage College-Denver,NULL,19089,23700,21400,22500
Empire Beauty School-Highland,NULL,12192,20200,22500,16300
Sunstate Academy,NULL,33318,20300,15100,16800
Elizabeth Grady School of Esthetics and Massage Therapy,NULL,10977,26200,29100,24900
Ross Medical Education Center-Port Huron,NULL,18978,20200,19500,19300
Capri Institute of Hair Design-Clifton,NULL,20478,23700,21100,18900
Raphael's School of Beauty Culture Inc-Alliance,NULL,9274,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Metro Technology Centers,13680,NULL,33400,32900,39000
Heald College-Roseville,NULL,20152,31900,29600,25700
Daymar College-Bowling Green,NULL,21123,22500,21300,19200
Everest College-Everett,NULL,20401,28900,27200,21000
Luna Community College,4899,NULL,23900,23200,21100
Grabber School of Hair Design,NULL,11107,17600,22700,16500
Yeshivah Gedolah Rabbinical College,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
University of the District of Columbia-David A Clarke School of Law,NULL,NULL,34800,31100,24600
Raphael's School of Beauty Culture Inc-Brunswick,NULL,12524,13300,15200,15800
Caribbean University-Ponce,NULL,2865,17000,17400,15100
Caribbean University-Vega Baja,NULL,3717,17000,17400,15100
University of Advancing Technology,NULL,28267,47200,40600,34300
Paradise Valley Community College,7904,NULL,33800,30800,27200
Chandler-Gilbert Community College,8536,NULL,39700,35500,31000
HSHS St. John's Hospital School of Clinical Laboratory Science,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Madison Media Institute,NULL,22238,28300,28100,23200
Sanford-Brown Institute-White Plains,NULL,NULL,29100,25500,24700
Sanford-Brown Institute-Garden City,NULL,17319,31300,30900,27800
Great Plains Technology Center,9706,NULL,34700,31000,27200
Roane-Jackson Technical Center,3194,NULL,22300,PrivacySuppressed,PrivacySuppressed
Total Cosmetology Training Center,NULL,13224,PrivacySuppressed,PrivacySuppressed,15700
Pioneer Technology Center,4212,NULL,20400,20400,PrivacySuppressed
Portage Lakes Career Center,10174,NULL,25600,30600,24700
Eastern College of Health Vocations-New Orleans,NULL,12514,18600,18300,16800
Bell Mar Beauty College,NULL,9602,15700,17500,17700
Cannella School of Hair Design-Chicago,NULL,3856,15300,14500,13500
Caddo Kiowa Technology Center,6320,NULL,19500,18600,19500
Brightwood College-San Antonio-San Pedro,NULL,21596,23200,21700,18800
Center for Instruction Technology & Innovation (CiTi),13830,NULL,31500,26500,25700
Le Cordon Bleu College of Culinary Arts-Austin,NULL,16357,29600,28800,26100
The Art Institute of New York City,NULL,23294,30400,25800,23300
Paris II Educational Center,NULL,7420,18700,19300,19200
International School of Skin Nailcare & Massage Therapy,NULL,24177,24200,20500,20400
Palomar Institute of Cosmetology,NULL,12969,17700,18600,19200
Southern Oklahoma Technology Center,4242,NULL,25600,25300,23200
Vista College,NULL,17401,21300,19100,17900
Autry Technology Center,11918,NULL,25200,28200,27000
Greene County Vocational School District,10629,NULL,23400,26700,28600
Canadian Valley Technology Center,1438,NULL,25700,21100,29600
Wilkes-Barre Area Career and Technical Center Practical Nursing,16672,NULL,36400,35800,33900
Mayo Graduate School,NULL,NULL,59700,PrivacySuppressed,PrivacySuppressed
Meridian Technology Center,8845,NULL,21700,22800,23400
Waynesville Career Center,13963,NULL,PrivacySuppressed,34000,PrivacySuppressed
Connecticut Institute of Hair Design,NULL,10386,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Capitol School of Hairstyling and Esthetics,NULL,14448,23500,21800,19200
Morris County Vocational School District,13089,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Ross Medical Education Center-Roosevelt Park,NULL,17166,20200,19500,19300
Ross Medical Education Center-Kentwood,NULL,17587,22600,21300,21900
South Florida Bible College and Theological Seminary,NULL,13867,NULL,NULL,NULL
Cloyd's Barber School 2 Inc,NULL,1255,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Universal Technical Institute of Illinois Inc,NULL,17462,43500,38700,33700
Pennsylvania College of Technology,23697,NULL,40100,37500,34800
Commonwealth Institute of Funeral Service,NULL,21780,33600,28200,28200
Delta College of Arts & Technology,NULL,18638,27400,26200,22300
InterCoast Colleges-Orange,NULL,24898,22900,20700,16800
Stone Child College,8156,NULL,16400,15600,13500
New York Academy of Art,NULL,NULL,NULL,NULL,NULL
Suffolk County Community College,6371,NULL,36300,32100,27500
Las Positas College,4639,NULL,33600,33700,26100
Blades School of Hair Design,NULL,15766,PrivacySuppressed,PrivacySuppressed,16900
Ogeechee Technical College,8556,NULL,21200,21700,20700
Remington College-Mobile Campus,NULL,20367,24000,19000,16300
Everest College-Aurora,NULL,21732,26000,24600,20200
Southern Technical College,NULL,15139,24600,24000,21300
Mercy-St Luke's School of Radiologic Technology,NULL,NULL,NULL,NULL,NULL
ITT Technical Institute-Norwood,NULL,23903,38800,33900,29300
Southwest Acupuncture College-Santa Fe,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Northwest Technology Center-Alva,NULL,NULL,15000,17800,PrivacySuppressed
Mercer County Career Center,7657,NULL,31500,32700,30800
ITT Technical Institute-Knoxville,NULL,24269,38800,33900,29300
ITT Technical Institute-Austin,NULL,23849,38800,33900,29300
ITT Technical Institute-Houston North,NULL,23140,38800,33900,29300
California State University-San Marcos,9736,NULL,45400,39500,34100
Argosy University-Hawaii,NULL,15791,37000,37200,32500
Baptist Theological Seminary at Richmond,NULL,NULL,NULL,NULL,NULL
Brightwood College-Modesto,NULL,23629,20400,21200,19400
Kaplan University-Des Moines Campus,NULL,18851,33400,30900,25800
Hairmasters Institute of Cosmetology,NULL,8378,18800,18000,17000
Tricoci University of Beauty Cuture LLC-Bloomington,NULL,8289,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Pinnacle Career Institute-Lawrence,NULL,24207,19200,20000,18300
Interactive College of Technology-Newport,NULL,12054,21100,21200,18700
Career Technical College-Monroe,NULL,18762,20400,18300,19100
Empire Beauty School-Lowell,NULL,13629,21700,18800,17100
Ross Medical Education Center-Taylor,NULL,20172,24000,22100,18000
McNally Smith College of Music,NULL,32667,30800,27500,22100
National Tractor Trailer School Inc-Liverpool,NULL,12820,34600,31200,33100
Interactive College of Technology,NULL,8746,23100,21500,21000
Star Career Academy_Brick,NULL,22294,PrivacySuppressed,PrivacySuppressed,19700
New Castle Beauty Academy,NULL,9460,14700,15900,12700
NorthWest Arkansas Community College,6474,NULL,32300,29900,27600
Madera Beauty College,NULL,13842,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Colorado Heights University,NULL,2813,PrivacySuppressed,PrivacySuppressed,21600
Brewster Technical College,11576,NULL,17000,20900,16400
Hodges University,NULL,16880,38500,34400,27200
Everest University-Lakeland,NULL,22174,25000,21600,17500
Argosy University-Atlanta,NULL,20018,37000,37200,32500
University of St Augustine for Health Sciences,NULL,NULL,NULL,NULL,NULL
Capital Area School of Practical Nursing,8751,NULL,32200,36000,36100
Hair Professionals Career College,NULL,23834,19100,16100,16200
Alexandria School of Scientific Therapeutics,NULL,16472,PrivacySuppressed,19700,18900
Empire Beauty School-Bloomfield,NULL,14347,16800,16100,13000
Southwest Technology Center,23485,NULL,28400,35200,25800
Western Area Career & Technology Center,9251,NULL,37900,37800,36100
Daymar Institute-Clarksville,NULL,23842,22500,21300,19200
Nossi College of Art,NULL,20741,23500,21300,20500
Seguin Beauty School-New Braunfels,NULL,14125,15400,16300,15000
ITT Technical Institute-Norfolk,NULL,24125,38800,33900,29300
Pima Medical Institute-Seattle,NULL,15419,28200,25900,25000
Mineral County Vocational Technical Center,658,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Hypnosis Motivation Institute,NULL,34111,17800,23400,21000
Los Angeles ORT College-Los Angeles Campus,NULL,18583,21200,19400,17900
Everest College-West Los Angeles,NULL,24880,24600,24800,22900
Thanh Le College School of Cosmetology,NULL,6362,15600,11000,11000
Southeastern Technical College,3973,NULL,22000,18800,18500
Massachusetts School of Law,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
ITT Technical Institute-Albuquerque,NULL,25673,38800,33900,29300
Community Services Division-Alliance City,7932,NULL,19400,23500,25200
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,NULL,22325,34800,33000,30600
Erwin Technical College,14211,NULL,28300,27700,25400
Rosel School of Cosmetology,NULL,4629,16400,14300,13600
Worsham College of Mortuary Science,NULL,NULL,47700,44800,35800
Bryan University,NULL,19402,24900,22000,17100
Oregon College of Oriental Medicine,NULL,NULL,NULL,NULL,NULL
Central Pennsylvania Institute of Science and Technology,12106,NULL,PrivacySuppressed,PrivacySuppressed,31400
Northwest Educational Center,NULL,8225,20900,18200,18100
Sebring Career Schools-Houston,NULL,13545,16200,15400,13900
PCI Health Training Center,NULL,16110,24100,24400,20500
Windham Memorial Hospital-Radiologic Technology Program,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Miami-Jacobs Career College-Columbus,NULL,23145,26700,22300,21100
Bryant & Stratton College-Eastlake,NULL,14328,22400,21500,20500
Hamrick School,NULL,13394,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Alabama State College of Barber Styling,NULL,3748,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Fortis College-Mobile,NULL,20482,20400,19000,16300
Arkansas Beauty School,NULL,10261,PrivacySuppressed,14300,PrivacySuppressed
Everest College-Ontario,NULL,26726,23100,21600,19700
Downey Adult School,1872,NULL,NULL,NULL,NULL
Heald College-Stockton,NULL,20922,31100,23700,21200
Heald College-Hayward,NULL,17706,37500,31000,26000
CRU Institute,NULL,16457,13200,13300,11300
Modern Technology School,NULL,15790,33700,34600,36700
National Career Education,NULL,17384,34200,29400,24700
Everest College-Anaheim,NULL,22076,26600,25900,23900
Thuy Princess Beauty College,NULL,13538,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
North-West College-Glendale,NULL,20193,27000,24200,22100
Everest College-City of Industry,NULL,20941,24600,24800,22900
Fremont College,NULL,21461,31600,26100,23000
Pomona Unified School District Adult and Career Education,4205,NULL,18500,16800,16400
Universal College of Beauty Inc-Los Angeles 2,NULL,15993,14700,13400,13100
IBMC College,NULL,19788,22300,23200,21600
Xenon International Academy-Denver,NULL,15856,24100,19500,24100
Academy of Cosmetology,NULL,15203,12200,PrivacySuppressed,12400
ITT Technical Institute-Lake Mary,NULL,25319,38800,33900,29300
Sunstate Academy,NULL,23430,17100,13700,17100
Heritage Institute-Jacksonville,NULL,20253,24200,20100,21000
Fortis College-Smyrna,NULL,20543,26900,25100,23300
Remington College-Honolulu Campus,NULL,18897,24000,19000,16300
Vatterott College-Des Moines,NULL,19656,34200,22400,19900
Brown Mackie College-Quad Cities,NULL,18890,27400,27200,27700
Pivot Point Academy-Bloomingdale,NULL,15033,21200,24200,21100
Blalock's Professional Beauty College,NULL,10727,NULL,NULL,NULL
Diesel Driving Academy-Baton Rouge,NULL,14140,PrivacySuppressed,32800,29300
Jonesville Beauty School,NULL,7020,15100,PrivacySuppressed,PrivacySuppressed
New England Hair Academy,NULL,13515,PrivacySuppressed,17100,15700
Rob Roy Academy-Worcester,NULL,15760,17400,16900,16400
Upper Cape Cod Regional Technical School,18347,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
All-State Career-Baltimore,NULL,15147,34300,32300,27500
New England School of Communications,NULL,NULL,27400,25400,24400
Everest Institute-Kalamazoo,NULL,27333,22300,20700,18700
Adler Graduate School,NULL,NULL,NULL,NULL,NULL
Academy of Hair Design-Jackson,NULL,8387,14800,14200,15000
KC's School of Hair Design,NULL,11294,NULL,NULL,NULL
Mitchells Hairstyling Academy-Goldsboro,NULL,8426,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Lincoln Technical Institute-Moorestown,NULL,23531,31000,24600,20700
Monmouth County Vocational School District,17725,NULL,32900,41900,PrivacySuppressed
Brightwood College-Las Vegas,NULL,20071,25900,24600,19600
Beauty School of Middletown,NULL,15403,16200,18600,16100
Bryant & Stratton College-Southtowns,NULL,14487,22400,21500,20500
National Tractor Trailer School Inc-Buffalo,NULL,15003,34600,31200,33100
Yeshiva Gedolah Imrei Yosef D'spinka,NULL,11225,12300,11900,12100
Cleveland Institute of Dental-Medical Assistants-Mentor,NULL,11823,21600,19900,19300
Cleveland Institute of Dental-Medical Assistants-Lyndhurst,NULL,11715,21600,19900,19300
Knox County Career Center,15363,NULL,21800,26200,27800
Madison Adult Career Center,9619,NULL,PrivacySuppressed,PrivacySuppressed,18400
Remington College-Cleveland Campus,NULL,20821,20200,19600,17100
Brown Mackie College-Findlay,NULL,18999,27400,27200,27700
Toledo Academy of Beauty Culture-East,NULL,8646,13300,13800,12600
U S Grant Joint Vocational School,3862,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
CC's Cosmetology College,NULL,16416,14800,13600,14000
Chisholm Trail Technology Center,726,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Gordon Cooper Technology Center,165,NULL,29600,30500,28800
Kiamichi Technology Center-Atoka,2819,NULL,21200,20300,19500
Kiamichi Technology Center-Durant,3141,NULL,21200,20300,19500
Kiamichi Technology Center-Hugo,1919,NULL,21200,20300,19500
Kiamichi Technology Center-McAlester,4778,NULL,21200,20300,19500
Kiamichi Technology Center-Idabel,1092,NULL,21200,20300,19500
Kiamichi Technology Center-Poteau,2242,NULL,21200,20300,19500
Kiamichi Technology Center-Spiro,8797,NULL,21200,20300,19500
Kiamichi Technology Center-Talihina,3330,NULL,21200,20300,19500
Le Cordon Bleu College of Culinary Arts-Portland,NULL,17735,29100,27300,23400
YTI Career Institute-Altoona,NULL,9303,24700,21700,18600
Eastern Center for Arts and Technology,14788,NULL,50100,47800,45200
Empire Beauty School-Center City Philadelphia,NULL,15386,16700,14900,13500
Centro de Estudios Multidisciplinarios-Humacao,NULL,5963,18000,16500,14900
Colegio Mayor de Tecnologia Inc,NULL,8414,14700,13900,12700
Institucion Chaviano de Mayaguez,NULL,4371,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
EDIC College,NULL,4589,16700,16700,16600
Liceo de Arte-Dise-O y Comercio,NULL,5485,14100,13700,12100
Universal Technology College of Puerto Rico,NULL,3360,15600,15100,13100
Academy of Hair Technology,NULL,14633,14300,14000,15200
Mr Wayne's School of Unisex Hair Design,NULL,12115,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
The Center for Cosmetology Education,NULL,13816,17200,20300,14700
Queen City College,NULL,9726,19700,16700,14500
College of the Marshall Islands,3542,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Lighthouse Career Institute,NULL,16135,NULL,NULL,NULL
American National College,NULL,10254,14700,15200,15400
ITT Technical Institute-San Antonio,NULL,22730,38800,33900,29300
Remington College-Fort Worth Campus,NULL,20972,25900,23400,19300
University of Cosmetology Arts & Sciences-San Antonio Jamar,NULL,6289,18100,14700,14400
School of Automotive Machinists,NULL,22244,44300,40400,41600
SW School of Business and Technical Careers-Cosmetology,NULL,10766,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
SW School of Business and Technical Careers,NULL,10832,14600,14100,PrivacySuppressed
Texas College of Cosmetology-Abilene,NULL,12495,17300,14300,14800
Vista College-Online,NULL,29077,29200,23600,19900
Centura College-Newport News,NULL,23003,23900,20000,17200
Centura College-Norfolk,NULL,23257,23900,20000,17200
Virginia Beach City Public Schools School of Practical Nursing,4202,NULL,NULL,NULL,NULL
Northwest College of Art & Design,NULL,27661,29700,26300,19600
University of Washington-Bothell Campus,11505,NULL,53700,48900,41500
University of Washington-Tacoma Campus,10087,NULL,53700,48900,41500
Valley College-Beckley,NULL,25585,18600,17500,20100
Valley College-Martinsburg,NULL,20628,25400,20900,19000
Valley College-Princeton,NULL,25565,17000,PrivacySuppressed,PrivacySuppressed
Bellus Academy-Poway,NULL,31530,17500,18800,22100
Capstone College,NULL,12751,27700,23700,20800
Central Coast College,NULL,14515,32600,29000,23900
ITT Technical Institute-Torrance,NULL,22664,38800,33900,29300
Pacific College of Oriental Medicine-San Diego,NULL,21315,PrivacySuppressed,17400,PrivacySuppressed
Artistic Nails and Beauty Academy-Tampa,NULL,11760,PrivacySuppressed,16300,15500
National Aviation Academy of Tampa Bay,NULL,21967,45000,43000,37200
Cain's Barber College Inc,NULL,10897,12800,15500,14100
Madison Oneida BOCES-Practical Nursing Program,15319,NULL,31300,29100,26800
Astrodome Career Centers,NULL,5742,NULL,NULL,NULL
Center for Advanced Legal Studies,NULL,18772,33600,38500,36900
Houston Training School-Main Campus,NULL,3407,16900,16200,15100
Remington College-Houston Campus,NULL,19475,25900,23400,19300
Bay Mills Community College,4956,NULL,20300,22200,19400
Fond du Lac Tribal and Community College,11943,NULL,24600,27300,24800
Northwest Indian College,6607,NULL,27900,24300,19400
Marinello Schools of Beauty-Provo,NULL,16184,9800,12600,14400
Provo College,NULL,20555,22800,20700,23700
Paul Mitchell the School-Provo,NULL,16082,19600,19100,18700
University of Phoenix-Utah,NULL,18957,51100,43400,33400
Utah College of Massage Therapy-Salt Lake City,NULL,21092,23800,23000,19600
CET-Coachella,NULL,8125,21700,20500,17500
CET-Oxnard,NULL,12238,21700,20500,17500
CET-Santa Maria,NULL,13610,21700,20500,17500
Colorado School of Traditional Chinese Medicine,NULL,NULL,NULL,NULL,NULL
Massage Therapy Institute of Colorado,NULL,34742,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Michigan College of Beauty-Troy,NULL,17144,15400,18000,17000
Ogle School Hair Skin Nails-Dallas,NULL,17383,19700,19000,17700
Phoenix Seminary,NULL,NULL,NULL,NULL,NULL
Faust Institute of Cosmetology-Spirit Lake,NULL,11685,16000,11400,PrivacySuppressed
Seattle Vocational Institute,1736,NULL,30800,28300,24500
Baker College of Port Huron,NULL,12365,26400,23900,21800
Empire Beauty School-Hyannis,NULL,15653,18800,19200,15700
Brookstone College-Greensboro,NULL,14207,27300,23000,21200
Cheeks International Academy of Beauty Culture-Fort Collins,NULL,7754,15200,16900,16700
Cheeks International Academy of Beauty Culture-Greeley,NULL,7887,15200,16900,16700
Colorado School of Healing Arts,NULL,21752,26900,22600,21500
Westwood College-Aurora Campus,NULL,20890,34700,31100,26300
Healing Arts Institute,NULL,20096,NULL,NULL,NULL
ITT Technical Institute-San Bernardino,NULL,23252,38800,33900,29300
Los Angeles ORT College-Van Nuys Campus,NULL,18047,21200,19400,17900
University of Phoenix-Puerto Rico,NULL,13805,51100,43400,33400
Mt. Diablo Adult Education-Mt. Diablo USD,16718,NULL,29700,32000,21600
Royale College of Beauty,NULL,12019,16700,14700,15100
Westech College,NULL,15062,26600,21200,17000
Greater Lowell Technical School,18291,NULL,51500,53600,52400
Academy of Hair Design-Pearl,NULL,9056,PrivacySuppressed,17300,PrivacySuppressed
King's College,NULL,15251,27700,24500,22000
Miller-Motte Technical College-Clarksville,NULL,19870,22500,20800,18700
Genesis Career College-Lebanon,NULL,9289,15500,16600,14100
Brightwood College-Dallas,NULL,19528,40600,24000,19400
Star College of Cosmetology 2,NULL,12631,15700,13100,12100
Southwest Collegiate Institute for the Deaf,4118,NULL,29300,27200,25300
Fortis College-Richmond,NULL,19886,23600,23400,21200
Midwest College of Oriental Medicine-Racine,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Hacienda La Puente Adult Education,6773,NULL,22900,21600,22600
La Belle Beauty Academy,NULL,16588,13000,13100,12300
Advanced Technical Centers,NULL,NULL,PrivacySuppressed,PrivacySuppressed,PrivacySuppressed
Hawaii Community College,8106,NULL,28400,22200,20100
Regency Beauty Institute-Winston-Salem,NULL,20456,13600,14400,12500
Robert Fiance Beauty Schools-North Plainfield,NULL,23851,20100,16700,15400
Long Island Beauty School-Hauppauge,NULL,12819,19300,18100,16100
Buckeye Joint Vocational School,6217,NULL,22700,26900,23700
