Supplier_Name,PWSID,Hydrologic_Region,County,Reporting_Month,Days-in-Month,Mandatory Restrictions,Days_Allowed/Week,Actions_Implemented,Current_Production,2013_Production,CII,Current_Ag,2013_Ag,Current_Recycled,Current_Non-revenue,Units,Population_Served,Percent_Residential_Use,R_GPCD_Reported ,R-GPCD_Calculated,Ag_Cert,Current_Production_Calculated,2013_Production_Calculated,Percent_Reduction,Complaints,Follow-ups,Warnings,Penalties_Rate,Penalties_Other,ID
Anaheim  City of,CA3010001,South Coast,ORANGE,6/15/2014 0:00,30,Yes,,,6328,6295,,,,,,AF,356762,56.00%,,108,,2061987843,2051234746,-0.50%,,,,,,324-1406
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,6/15/2015 0:00,30,Yes,2,"Raised rates,Instituted surcharges,Reduced allowed outdoor irrigation days,Restricted allowed outdoor irrigation times,Instituted new prohibitions on specific water uses,Instituted use of behavioral modification programs,Instituted use of SmartMeters for data tracking and enforcement,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",4778.2,6927.5,908.8,,,,,MG,1390000,61.00%,69,70,,4778000000,6928000000,31.00%,990,627,85,,0,291-1506
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,5/15/2015 0:00,31,Yes,2,,4657.7,6716.5,,,,,,MG,1390000,60.00%,65,65,,4658000000,6717000000,30.70%,,,,,,291-1505
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,4/15/2015 0:00,30,Yes,2,,4456.9,5417.5,,,,,,MG,1390000,62.00%,67,66,,4457000000,5418000000,17.70%,,,,,,291-1504
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,3/15/2015 0:00,31,Yes,2,,4650.2,4927.5,,,,,,MG,1390000,61.00%,67,66,,4650000000,4928000000,5.60%,,,,,,291-1503
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,2/15/2015 0:00,28,Yes,,,3765.9,4016.4,,,,,,MG,1390000,61.00%,59,59,,3766000000,4016000000,6.20%,,,,,,291-1502
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,1/15/2015 0:00,31,,,,4096.2,4099.3,,,,,,MG,1390000,62.00%,59,59,,4096000000,4099000000,0.10%,,,,,,291-1501
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,12/15/2014 0:00,31,Yes,,,3839,4772,,,,,,MG,1379000,62.00%,56,56,,3839000000,4772000000,19.60%,,,,,,291-1412
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,11/15/2014 0:00,30,Yes,,,4195.4,5148.6,,,,,,MG,1379000,61.00%,62,62,,4195000000,5149000000,18.50%,,,,,,291-1411
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,10/15/2014 0:00,31,Yes,,,5370.6,6175,,,,,,MG,1379000,60.00%,75,75,,5371000000,6175000000,13.00%,,,,,,291-1410
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,9/15/2014 0:00,30,Yes,,,5682.9,6528.4,,,,,,MG,1379000,61.00%,84,84,,5683000000,6528000000,12.90%,,,,,,291-1409
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,8/15/2014 0:00,31,Yes,,,6222,7172.3,,,,,,MG,1379000,61.00%,88,89,,6222000000,7172000000,13.20%,,,,,,291-1408
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,7/15/2014 0:00,31,Yes,,,6590.1,7452.8,,,,,,MG,1330000,69.00%,,110,,6590000000,7453000000,11.60%,,,,,,291-1407
East Bay Municipal Utilities District,CA0110005,San Francisco Bay,ALAMEDA,6/15/2014 0:00,30,Yes,,,6365.4,7025.7,,,,,,MG,1330000,69.00%,,110,,6365000000,7026000000,9.40%,,,,,,291-1406
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,4/15/2016 0:00,30,Yes,2,,25679413,28928011,8941592,0,0,0,,G,10284,67.40%,54.32,56,,25679413,28928011,11.20%,0,0,0,0,0,292-1604
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,3/15/2016 0:00,31,Yes,2,,24876688,31277518,7048405,0,0,0,12300,G,10284,69.00%,53.81,54,,24876688,31277518,20.50%,2,2,2,0,0,292-1603
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,2/15/2016 0:00,29,Yes,2,"Raised rates,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",23427690,25941318,5715468,0,0,0,0,G,10284,70.70%,51.97,56,,23427690,25941318,9.70%,0,0,0,0,0,292-1602
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,1/15/2016 0:00,31,Yes,2,"Raised rates,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",24343394,30427517,8070172,0,0,0,9000,G,10284,68.30%,52.15,52,,24343394,30427517,20.00%,1,1,1,0,0,292-1601
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,12/15/2015 0:00,31,Yes,2,"Raised rates,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",25226154,33999367,7420908,0,0,0,8000,G,10234,67.00%,53.46,53,,25226154,33999367,25.80%,3,3,3,0,0,292-1512
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,11/15/2015 0:00,30,Yes,2,"Raised rates,Increased conservation personnel,Increased conservation program budget",28815483,33485435,8188096,0,0,0,,G,10234,64.60%,60.68,61,,28815483,33485435,13.90%,3,3,0,,0,292-1511
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,10/15/2015 0:00,31,Yes,2,"Raised rates,Increased conservation personnel,Increased conservation program budget",29133677,37234272,7829316,0,0,0,82200,G,10234,64.60%,59.32,59,,29133677,37234272,21.80%,6,6,0,,0,292-1510
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,9/15/2015 0:00,30,Yes,2,"Raised rates,Increased conservation personnel,Increased conservation program budget",30354644,36627545,8659596,0,0,0,15000,G,10234,61.40%,60.7,61,,30354644,36627545,17.10%,4,4,4,,0,292-1509
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,8/15/2015 0:00,31,Yes,2,"Raised rates,Increased conservation personnel,Increased conservation program budget",32579005,40528972,11604472,,,,,G,10234,62.50%,64.2,64,,32579005,40528972,19.60%,7,7,2,,0,292-1508
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,7/15/2015 0:00,31,Yes,2,"Raised rates,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",32318984,42026752,9604320,0,0,0,0,G,10234,63.30%,64.5,64,,32318984,42026752,23.10%,4,4,4,,0,292-1507
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,6/15/2015 0:00,30,Yes,2,Increased conservation program budget,32189607,36565077,10424128,,,,,G,10234,63.00%,66,66,,32189607,36565077,12.00%,7,7,7,,0,292-1506
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,5/15/2015 0:00,31,Yes,2,,29893170,36927203,9627508,,,,150000,G,10234,64.00%,60.26,60,,29893170,36927203,19.00%,7,7,7,,0,292-1505
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,4/15/2015 0:00,30,Yes,2,,29362580,28928011,,,,,339004,G,10234,65.60%,62.79,63,,29362580,28928011,-1.50%,7,7,7,,0,292-1504
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,3/15/2015 0:00,31,Yes,2,,29893871,31277518,,,,,,G,10234,69.00%,52.61,65,,29893871,31277518,4.40%,3,3,2,,0,292-1503
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,2/15/2015 0:00,28,Yes,,,25004393,25941318,,,,,,G,10234,69.00%,60.27,60,,25004393,25941318,3.60%,,,,,,292-1502
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,1/15/2015 0:00,31,Yes,,,29586922,30427517,,,,,,G,10234,71.00%,66,66,,29586922,30427517,2.80%,,,,,,292-1501
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,12/15/2014 0:00,31,Yes,,,26365763,33999367,,,,,,G,10234,68.00%,57,57,,26365763,33999367,22.50%,,,,,,292-1412
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,11/15/2014 0:00,30,Yes,,,27062107,33485435,,,,,,G,10234,67.00%,59,59,,27062107,33485435,19.20%,,,,,,292-1411
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,10/15/2014 0:00,31,Yes,,,32547457,37234272,,,,,,G,10234,65.00%,67,67,,32547457,37234272,12.60%,,,,,,292-1410
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,9/15/2014 0:00,30,Yes,,,32804911,36627545,,,,,,G,10234,65.00%,69,69,,32804911,36627545,10.40%,,,,,,292-1409
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,8/15/2014 0:00,31,Yes,,,35695596,40528972,,,,,,G,10461,64.00%,,70,,35695596,40528972,11.90%,,,,,,292-1408
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,7/15/2014 0:00,31,Yes,,,37625206,42026752,,,,,,G,10608,61.30%,,70,,37625206,42026752,10.50%,,,,,,292-1407
Morro Bay  City of,CA4010011,Central Coast,SAN LUIS OBISPO,6/15/2014 0:00,30,Yes,,,34544401,36565077,,,,,,G,10234,66.30%,,75,,34544401,36565077,5.50%,,,,,,292-1406
Yorba Linda Water District,CA3010037,South Coast,ORANGE,4/15/2016 0:00,30,Yes,1,"Raised rates,Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",1146.21,1791.2,98.05,,,,,AF,78539,74.00%,117.3,117,,373425738,583599909,36.00%,24,24,24,0,1,294-1604
Yorba Linda Water District,CA3010037,South Coast,ORANGE,3/15/2016 0:00,31,Yes,1,"Raised rates,Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",903.03,1546.1,109.86,,,,,AF,78539,74.00%,89.43,89,,294243840,503766309,41.60%,50,50,28,0,28,294-1603
Yorba Linda Water District,CA3010037,South Coast,ORANGE,2/15/2016 0:00,29,Yes,1,"Raised rates,Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted rationing,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",964.97,1254.9,89.95,,,,,AF,78539,74.00%,102.16,102,,314446629,408943543,23.10%,42,42,32,,32,294-1602
Yorba Linda Water District,CA3010037,South Coast,ORANGE,1/15/2016 0:00,31,Yes,1,"Raised rates,Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",793.87,1155.6,75.1,,,,,AF,78539,74.00%,78.62,79,,258726035,376684252,31.30%,13,97,97,,5,294-1601
Yorba Linda Water District,CA3010037,South Coast,ORANGE,12/15/2015 0:00,31,Yes,1,"Raised rates,Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Instituted rationing,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",1003.83,1437.7,120,,,,,AF,73990,74.00%,107.7,106,,327154835,468574355,30.20%,121,130,121,0,13,294-1512
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,3/15/2016 0:00,31,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation program budget",3991,4735,1175,0,,,,AF,485487,69.00%,61,60,,1300473053,1542906516,15.70%,654,438,1,0,0,295-1603
Yorba Linda Water District,CA3010037,South Coast,ORANGE,11/15/2015 0:00,30,Yes,1,"Raised rates,Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",1173.51,1584.3,101.51,,,,,AF,73990,74.00%,130.1,128,,382549578,516148664,25.90%,16,81,62,,9,294-1511
Yorba Linda Water District,CA3010037,South Coast,ORANGE,10/15/2015 0:00,31,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",1264.98,1953.5,111.83,,,,,AF,72500,74.00%,135.72,136,,412202058,636713692,35.30%,159,159,159,,13,294-1510
Yorba Linda Water District,CA3010037,South Coast,ORANGE,9/15/2015 0:00,30,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",1259.22,2236.5,145.5,,,,,AF,72500,74.00%,139.6,140,,410246949,728929647,43.70%,119,119,119,,2,294-1509
Yorba Linda Water District,CA3010037,South Coast,ORANGE,8/15/2015 0:00,31,Yes,2,"Reduced allowed outdoor irrigation days,Instituted new prohibitions on specific water uses,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",1379.97,2355.9,122.9,,,,,AF,72500,74.00%,148.05,148,,449674972,767705967,41.40%,76,218,142,,4,294-1508
Yorba Linda Water District,CA3010037,South Coast,ORANGE,7/15/2015 0:00,31,Yes,2,"Reduced allowed outdoor irrigation days,Instituted stricter prohibitions on specific water uses,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",1329.94,2348.8,145.43,,,,,AF,72500,74.00%,143,143,,433382401,765425007,43.40%,100,374,274,,4,294-1507
Yorba Linda Water District,CA3010037,South Coast,ORANGE,6/15/2015 0:00,30,Yes,2,"Reduced allowed outdoor irrigation days,Increased penalties for water waste,Increased leak detection and repair actions,Increased conservation personnel,Increased conservation program budget,Increased conservation program scope",1357.8,2185,141.56,,,,,AF,72500,74.00%,150.53,151,,442506241,711985372,37.80%,88,238,134,,2,294-1506
Yorba Linda Water District,CA3010037,South Coast,ORANGE,5/15/2015 0:00,31,Yes,2,,1223.25,1893.17,114.06,,,,,AF,73500,74.00%,131.24,129,,398516298,616836755,35.40%,100,166,66,,8,294-1505
Yorba Linda Water District,CA3010037,South Coast,ORANGE,4/15/2015 0:00,30,Yes,3,,1422.24,1588.61,,,,,142.23,AF,72500,74.00%,152.59,158,,463360732,517777921,10.50%,55,78,23,,1,294-1504
Yorba Linda Water District,CA3010037,South Coast,ORANGE,3/15/2015 0:00,31,Yes,3,,860.6,882.5,,,,,,AF,73990,100.00%,124.95,122,,280558080,287726812,2.50%,23,23,23,,0,294-1503
Yorba Linda Water District,CA3010037,South Coast,ORANGE,2/15/2015 0:00,28,Yes,,,1248.1,1254.9,,,,,,AF,72399,75.00%,150.47,150,,406662583,408943543,0.60%,,,,,,294-1502
Yorba Linda Water District,CA3010037,South Coast,ORANGE,1/15/2015 0:00,31,Yes,,,1228.3,1155.6,,,,,,AF,72399,80.00%,142.67,143,,400145555,376684252,-6.20%,,,,,,294-1501
Yorba Linda Water District,CA3010037,South Coast,ORANGE,12/15/2014 0:00,31,Yes,,,862.2,1437.7,,,,,,AF,72399,76.00%,95.14,95,,280883932,468574355,40.10%,,,,,,294-1412
Yorba Linda Water District,CA3010037,South Coast,ORANGE,11/15/2014 0:00,30,Yes,,,1520.3,1584.3,,,,,,AF,72399,74.00%,168.78,169,,495294172,516148664,4.00%,,,,,,294-1411
Yorba Linda Water District,CA3010037,South Coast,ORANGE,10/15/2014 0:00,31,Yes,,,1922.8,1953.5,,,,,,AF,72399,72.00%,201,201,,626612298,636713692,1.60%,,,,,,294-1410
Yorba Linda Water District,CA3010037,South Coast,ORANGE,9/15/2014 0:00,30,Yes,,,2077.3,2236.5,,,,,,AF,72399,71.00%,221.27,221,,676793418,728929647,7.20%,,,,,,294-1409
Yorba Linda Water District,CA3010037,South Coast,ORANGE,8/15/2014 0:00,31,Yes,,,2227.9,2355.9,,,,,,AF,73990,67.00%,,212,,725996984,767705967,5.40%,,,,,,294-1408
Yorba Linda Water District,CA3010037,South Coast,ORANGE,7/15/2014 0:00,31,Yes,,,2352.1,2348.8,,,,,,AF,73990,68.00%,,227,,766402561,765425007,-0.10%,,,,,,294-1407
Yorba Linda Water District,CA3010037,South Coast,ORANGE,6/15/2014 0:00,30,Yes,,,2298.3,2185,,,,,,AF,73990,67.00%,,226,,748806584,711985372,-5.20%,,,,,,294-1406
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,4/15/2016 0:00,30,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation program budget",4126,4945,1176,0,0,,,AF,485752,63.00%,58,58,,1344462996,1611335316,16.60%,570,444,0,0,0,295-1604
"Los Banos, City of",CA2410005,San Joaquin River,MERCED,3/15/2016 0:00,31,Yes,1,,118438000,186188000,,,,,,G,37168,61.00%,63,63,,118438000,186188000,36.40%,,,,,,297-1603
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,2/15/2016 0:00,29,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation program budget",3846,4022,1119,0,0,,,AF,485223,60.00%,54,53,,1253224596,1310574447,4.40%,637,429,0,0,0,295-1602
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,1/15/2016 0:00,31,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation program budget",3771,4337,1119,0,0,,,AF,484958,66.00%,55,54,,1228785739,1413217648,13.10%,456,344,0,0,0,295-1601
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,12/15/2015 0:00,31,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation program budget",4080,4525,1253,0,0,,,AF,484694,73.00%,66,65,,1329473830,1474477716,9.80%,795,504,3,0,0,295-1512
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,11/15/2015 0:00,30,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation program budget",4169,4715,1109,0,0,,,AF,484429,56.00%,53,52,,1358474608,1536389488,11.60%,866,627,0,,0,295-1511
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,10/15/2015 0:00,31,Yes,2,"Raised rates,Reduced allowed outdoor irrigation days,Instituted use of behavioral modification programs,Increased penalties for water waste,Increased conservation program budget",4457,5324,1427,0,0,,,AF,484165,68.00%,67,66,,1452319819,1734833008,16.30%,1408,941,6,,2,295-1510
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,9/15/2015 0:00,30,Yes,2,"Reduced allowed outdoor irrigation days,Increased penalties for water waste,Increased conservation program budget",4445,5463,1462,0,,,,AF,483900,68.00%,69,68,,1448409602,1780126357,18.60%,1678,1232,29,,2,295-1509
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,8/15/2015 0:00,31,Yes,2,"Restricted allowed outdoor irrigation times,Instituted use of SmartMeters for data tracking and enforcement,Increased penalties for water waste",4645,5648,1238,0,,,,AF,483636,58.00%,60,59,,1513579888,1840408871,17.80%,1726,1290,35,,2,295-1508
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,7/15/2015 0:00,31,Yes,2,"Reduced allowed outdoor irrigation days,Increased penalties for water waste",4538,5598,1427,0,0,,,AF,483371,69.00%,69,68,,1478713785,1824116300,18.90%,2260,1758,14,,0,295-1507
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,6/15/2015 0:00,30,Yes,2,,4368,5417,1366,0,0,,,AF,483107,69.00%,69,68,,1423319042,1765137191,19.40%,2138,1745,0,,0,295-1506
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,5/15/2015 0:00,31,Yes,2,,4273,5313,1287,,,,,AF,482842,62.00%,59,58,,1392363156,1731248642,19.60%,1465,1194,9,,3,295-1505
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,4/15/2015 0:00,30,Yes,2,,4647,4945,,,,,,AF,482578,61.00%,65,64,,1514231591,1611335316,6.00%,1766,1478,15,,2,295-1504
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,3/15/2015 0:00,31,Yes,2,,4613,4735,,,,,,AF,482313,58.00%,59,58,,1503152642,1542906516,2.60%,493,396,13,,4,295-1503
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,2/15/2015 0:00,28,Yes,2,,3966,4022,,,,,,AF,482049,67.00%,66,64,,1292326767,1310574447,1.40%,240,145,0,,0,295-1502
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,1/15/2015 0:00,31,Yes,2,,4189,4337,,,,,,AF,481784,65.00%,60,59,,1364991636,1413217648,3.40%,128,109,0,,0,295-1501
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,12/15/2014 0:00,31,Yes,2,,3996,4525,,,,,,AF,481607,71.00%,63,62,,1302102310,1474477716,11.70%,132,110,0,,0,295-1412
Long Beach  City of,CA1910065,South Coast,LOS ANGELES,11/15/2014 0:00,30,Yes,2,,4471,4715,,,,,,AF,481430,65.00%,67,66,,1456881739,1536389488,5.20%,221,178,0,,0,295-1411
