INTERSECTION,CAMERA ID,ADDRESS,VIOLATION DATE,VIOLATIONS,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
ASHLAND AND DIVISION,1793,1600 W DIVISION STREET,11/25/2014,2,1165489.684200442,1908112.312963909,41.903455316,-87.667558994,"(41.903455316483814, -87.66755899396976)"
ARCHER/NARRAGANSETT AND 55TH,2073,6400 W ARCHER AVE,11/25/2014,6,1134629.248133949,1867443.543796524,41.792455256,-87.78187685,"(41.79245525550523, -87.78187684987694)"
95TH AND STONEY ISLAND,2513,1600 E 95TH STREET,11/25/2014,8,1188537.746187743,1842339.840767953,41.722449457,-87.585003569,"(41.72244945701069, -87.58500356910938)"
PULASKI AND 79TH,2492,7900 S PULASKI ROAD,11/25/2014,5,1151054.87395657,1851842.663854121,41.749339,-87.722052091,"(41.74933900008238, -87.72205209091501)"
CALIFORNIA AND DIVERSEY,1511,2800 N CALIFORNIA AVE,11/25/2014,4,1157189.355049829,1918495.644754069,41.932120719,-87.6977653,"(41.93212071910647, -87.69776530036465)"
ARCHER AND CICERO,2084,5400 S ARCHER AVE,11/25/2014,3,1145209.426392053,1869810.657411975,41.798758208,-87.743020541,"(41.798758207843264, -87.74302054146467)"
ADDISON AND HARLEM,1593,7200 W ADDISON,11/25/2014,2,1127417.488447099,1923123.407710965,41.945373358,-87.807070326,"(41.94537335809189, -87.80707032561135)"
LAWRENCE AND CICERO,1042,4800 N CICERO AVENUE,11/25/2014,8,1143464.651785526,1931490.551883203,41.968048007,-87.747875985,"(41.968048007293845, -87.74787598468126)"
PETERSON AND WESTERN,1011,6000 N WESTERN AVE,11/25/2014,3,1159190.625032041,1939816.75471116,41.990586042,-87.689822473,"(41.99058604241958, -87.68982247294417)"
WESTERN AND MARQUETTE,2674,2400 W MARQUETTE ROAD,11/25/2014,1,1161509.889315231,1860208.627404126,41.772086214,-87.683508858,"(41.772086214104526, -87.68350885781568)"
MADISON AND CENTRAL,1754,5600 W MADISON STREET,11/25/2014,5,1139033.690528149,1899503.712147867,41.880354556,-87.764948136,"(41.88035455632559, -87.76494813634785)"
31ST AND CALIFORNIA,2061,3100 S CALIFORNIA,11/25/2014,5,1158151.943135347,1883939.950079683,41.83727705,-87.695172247,"(41.837277050366296, -87.69517224651918)"
PULASKI AND CHICAGO,1982,800 N PULASKI ROAD,11/25/2014,1,1149538.444844035,1905079.034990625,41.895456457,-87.726230541,"(41.895456456825386, -87.72623054051289)"
PULASKI AND FULLERTON,1484,4000 W FULLERTON AVE,11/25/2014,3,1149303.081963737,1915695.275222648,41.924593022,-87.726819268,"(41.92459302175305, -87.7268192684032)"
HALSTED AND DIVISION,1711,1200 N HALSTED,11/25/2014,10,1170746.639428735,1908242.256010774,41.903698308,-87.648245351,"(41.90369830765008, -87.64824535062563)"
LAWRENCE AND WESTERN,1192,4800 N WESTERN AVENUE,11/25/2014,3,1159459.622430471,1931821.342623414,41.968640727,-87.689054241,"(41.96864072747715, -87.6890542408374)"
AUSTIN AND IRVING PARK,1163,6000 W IRVING PARK ROAD,11/25/2014,2,1135622.402636023,1926014.192063646,41.953163772,-87.776842593,"(41.95316377185154, -87.77684259284736)"
PULASKI AND 63RD,2343,4000 W 63RD ST,11/25/2014,4,1150768.346768175,1862564.615405259,41.77876739,-87.722823195,"(41.778767390084305, -87.72282319530368)"
BLUE ISLAND AND DAMEN,2281,2416 S DAMEN AVENUE,11/25/2014,2,1163378.697434511,1887916.370760201,41.848080596,-87.675881338,"(41.84808059558783, -87.67588133802435)"
ARCHER/NARRAGANSETT AND 55TH,2074,6400 W ARCHER AVE,11/25/2014,9,1134629.248133949,1867443.543796524,41.792455256,-87.78187685,"(41.79245525550523, -87.78187684987694)"
IRVING PARK AND KILPATRICK,2763,4700 W IRVING PARK ROA,11/25/2014,3,,,,,
CLARK AND FULLERTON,1631,2400 N CLARK ST,11/25/2014,1,1172749.562209477,1916238.997132859,41.925597623,-87.640650973,"(41.925597623023144, -87.64065097309872)"
115TH AND HALSTED,2553,800 W 115TH STREET,11/25/2014,3,1173010.735357888,1828632.242070332,41.685190056,-87.642279564,"(41.68519005571938, -87.64227956401977)"
JEFFERY AND 79TH,2662,7900 S JEFFERY BOULEV,11/25/2014,1,,,,,
VINCENNES AND 111TH,2531,11100 S VINCENNES AVE,11/25/2014,1,1167202.128381332,1831126.639262444,41.692160999,-87.663472469,"(41.69216099874656, -87.66347246868617)"
MONTROSE AND WESTERN,1221,4400 N WESTERN AVENUE,11/25/2014,6,1159539.733234718,1929183.918095502,41.961401846,-87.688832623,"(41.961401846278505, -87.6888326227788)"
HARLEM AND NORTHWEST HWY,1082,6400 N HARLEM AVE,11/25/2014,2,1127335.21218179,1941943.442727776,41.997018918,-87.806947715,"(41.99701891845275, -87.8069477154956)"
ADDISON AND HARLEM,1591,3600 N HARLEM AVENUE,11/25/2014,5,1127394.594070737,1923110.532422811,41.945338412,-87.807154769,"(41.94533841246591, -87.80715476912044)"
MONTROSE AND WESTERN,1224,2400 W MONTROSE AVENUE,11/25/2014,2,1159562.971802959,1929191.337701253,41.961421726,-87.68874698,"(41.961421726406314, -87.68874697983858)"
MILWAUKEE AND MONTROSE,1364,5075 W MONTROSE AVENUE,11/25/2014,4,1141716.746618898,1928736.076639057,41.960522088,-87.754371424,"(41.96052208819935, -87.75437142402293)"
CLARK AND FULLERTON,1632,2400 N CLARK ST,11/25/2014,2,1172749.562209477,1916238.997132859,41.925597623,-87.640650973,"(41.925597623023144, -87.64065097309872)"
CENTRAL AND LAKE,1742,400 N CENTRAL AVENUE,11/25/2014,1,1138928.478257537,1902217.926149854,41.887804621,-87.765268498,"(41.88780462053497, -87.76526849810371)"
ELSTON AND IRVING PARK,1503,3700 W IRVING PARK ROA,11/25/2014,5,,,,,
KEDZIE AND 63RD,2364,3200 W 63RD ST,11/25/2014,1,1156103.348831225,1862717.565210739,41.779081505,-87.703260365,"(41.77908150488341, -87.70326036544745)"
HARLEM AND NORTHWEST HWY,1081,6400 N HARLEM AVE,11/25/2014,5,1127335.21218179,1941943.442727776,41.997018918,-87.806947715,"(41.99701891845275, -87.8069477154956)"
BLUE ISLAND AND DAMEN,2283,2416 S BLUE ISLAND AV,11/25/2014,3,1163271.402680135,1888053.313412189,41.848458633,-87.676271269,"(41.848458633352884, -87.67627126912292)"
WESTERN AND PRATT,1302,6800 N WESTERN AVENUE,11/25/2014,6,1159043.160898631,1945096.218978482,42.005076123,-87.69021903,"(42.00507612272344, -87.69021903022175)"
CICERO AND FULLERTON,1472,2400 N CICERO AVE,11/25/2014,2,1143961.592189569,1915545.343094087,41.92428359,-87.74645019,"(41.92428358982701, -87.74645019028947)"
WESTERN AND ADDISON,1562,3600 N WESTERN AVENUE,11/25/2014,13,1159695.573342728,1923871.086283556,41.94681992,-87.688406662,"(41.94681991986288, -87.68840666206194)"
JEFFERY AND 95TH,2522,9500 S JEFFERY AVE,11/25/2014,2,1191132.420601301,1842335.735988875,41.722375907,-87.575499903,"(41.72237590704101, -87.57549990332795)"
ROOSEVELT AND PULASKI,2311,1200 S PULASKI ROAD,11/25/2014,1,1149866.002247864,1894375.839200384,41.866079337,-87.725305995,"(41.86607933722178, -87.7253059948758)"
CICERO AND ADDISON,1612,3600 N CICERO AVENUE,11/25/2014,1,1143698.904601495,1923517.005821035,41.946163524,-87.747215169,"(41.94616352362556, -87.74721516897007)"
IRVING PARK AND CALIFORNIA,1233,2800 W IRVING PARK ROA,11/25/2014,3,,,,,
ASHLAND AND ARCHER,2301,3100 S ASHLAND AVENUE,11/25/2014,3,1166131.325337548,1884126.42490739,41.837622344,-87.665887181,"(41.83762234415814, -87.66588718054551)"
FOSTER AND NAGLE,1031,5200 N NAGLE,11/25/2014,2,1132529.656558223,1934201.702060651,41.97568567,-87.788020406,"(41.97568566971868, -87.78802040620296)"
111TH AND HALSTED,2422,11100 S HALSTED ST,11/25/2014,4,1172923.657689312,1831209.044179248,41.692263123,-87.642522688,"(41.692263123425136, -87.6425226876268)"
WESTERN AND 79TH,2481,7900 S WESTERN AVE,11/25/2014,2,1161711.516404028,1852181.685686118,41.750054934,-87.682992203,"(41.750054933649984, -87.68299220290213)"
119TH AND HALSTED,2402,11900 S HALSTED,11/25/2014,2,1173094.774616191,1825911.054609338,41.677720829,-87.642051845,"(41.67772082924762, -87.64205184498218)"
PULASKI AND ARMITAGE,1844,4000 W ARMITAGE AVENUE,11/25/2014,1,1149375.428872108,1913028.984273181,41.917275069,-87.726622746,"(41.91727506940875, -87.72662274644799)"
99TH AND HALSTED,2433,800 W 99TH ST,11/25/2014,2,1172710.642565684,1839246.330602143,41.714323337,-87.643066714,"(41.71432333701137, -87.64306671421937)"
HARLEM AND BELMONT,1391,3200 N HARLEM AVE,11/25/2014,3,1127481.020995451,1920467.613239239,41.938084468,-87.806896749,"(41.93808446822169, -87.80689674887883)"
BROADWAY/SHERIDAN AND DEVON,1122,6400 N SHERIDAN ROAD,11/25/2014,4,1167087.151194129,1942658.704988689,41.998217921,-87.660695256,"(41.99821792053241, -87.6606952555721)"
CALIFORNIA AND DEVON,1321,6400 N CALIFORNIA AVE,11/25/2014,1,1156461.150245401,1942370.37710537,41.997649133,-87.699792629,"(41.997649133049336, -87.69979262891378)"
KEDZIE AND 26TH,2381,2600 S KEDZIE AVENUE,11/25/2014,3,1155404.235510285,1886524.460033054,41.844424831,-87.705185452,"(41.84442483084393, -87.70518545233183)"
STONY ISLAND/CORNELL AND 67TH,2731,6700 S CORNELL DRIVE,11/25/2014,6,1188316.454860734,1860851.137456735,41.77325149,-87.5852246,"(41.77325148959568, -87.58522459967712)"
COTTAGE GROVE AND 71ST,2571,7100 S COTTAGE GROVE,11/25/2014,2,1182746.23698699,1858088.011064538,41.765800351,-87.605729127,"(41.76580035131893, -87.6057291269901)"
STATE AND 79TH,2651,7900 S STATE STREET,11/25/2014,4,1177618.166929966,1852621.870232838,41.750918138,-87.624690123,"(41.7509181383154, -87.62469012251644)"
CENTRAL AND CHICAGO,1972,800 N CENTRAL AVENUE,11/25/2014,2,1138836.562608552,1904801.732832435,41.894896579,-87.765543258,"(41.89489657939746, -87.76554325845893)"
ASHLAND AND 47TH,2192,4700 S ASHLAND AVENUE,11/25/2014,1,1166423.624284841,1873520.235394001,41.808511597,-87.665117292,"(41.8085115972472, -87.66511729173287)"
KOSTNER AND NORTH,2013,4400 W NORTH,11/25/2014,6,1146738.551618032,1910309.595368032,41.909863573,-87.736380296,"(41.90986357340246, -87.73638029605371)"
CLARK AND IRVING PARK,1091,4000 N CLARK STREET,11/25/2014,3,1166736.149822904,1926699.323624709,41.954432441,-87.662446259,"(41.95443244141688, -87.66244625914061)"
CORTLAND AND ASHLAND,1721,1900 N ASHLAND AVE,11/25/2014,11,1165348.084854857,1912736.454335569,41.916147281,-87.667947354,"(41.91614728095272, -87.66794735350443)"
DAMEN AND DIVERSEY,1464,2000 W DIVERSEY PARKWAY,11/25/2014,3,1162519.714934025,1918635.417634925,41.932394164,-87.678173031,"(41.93239416403691, -87.67817303087757)"
CICERO AND 47TH,2204,4800 W 47TH ST,11/25/2014,6,1145130.048925744,1873078.44198302,41.807727017,-87.743229366,"(41.80772701677172, -87.74322936566276)"
KIMBALL AND DIVERSEY,1583,3400 W DIVERSEY AVENUE,11/25/2014,2,1153211.149172713,1918454.477800566,41.932087747,-87.71238583,"(41.932087747378944, -87.71238582951281)"
CENTRAL AND ADDISON,1683,5600 W ADDISON STREET,11/25/2014,4,1138349.663302502,1923416.02157061,41.945985104,-87.766879952,"(41.94598510430888, -87.76687995165918)"
PETERSON AND WESTERN,1014,2400 W PETERSON,11/25/2014,3,1159214.211316277,1939825.301874586,41.99060901,-87.689735481,"(41.990609009807294, -87.68973548092968)"
STATE AND 79TH,2654,1 E 79TH STREET,11/25/2014,14,1177680.113652821,1852598.313477786,41.750852096,-87.624463832,"(41.75085209551078, -87.62446383210285)"
WESTERN AND FOSTER,1074,2400 W FOSTER AVE,11/25/2014,2,1159379.402846887,1934502.712486132,41.97600019,-87.689275084,"(41.97600018976586, -87.68927508385399)"
VINCENNES AND 111TH,2532,11100 S VINCENNES AVE,11/25/2014,1,1167202.128381332,1831126.639262444,41.692160999,-87.663472469,"(41.69216099874656, -87.66347246868617)"
PULASKI AND ARMITAGE,1843,4000 W ARMITAGE AVENUE,11/25/2014,2,1149375.428872108,1913028.984273181,41.917275069,-87.726622746,"(41.91727506940875, -87.72662274644799)"
CORNELL DRIVE AND 57TH,2181,5700 S CORNELL DRIVE,11/25/2014,8,1188165.732740433,1867529.196427323,41.791580204,-87.585564215,"(41.79158020433135, -87.58556421519536)"
KEDZIE AND ARMITAGE,1834,3200 W ARMITAGE AVENUE,11/25/2014,2,1154700.851347995,1913153.252187904,41.917511023,-87.707053639,"(41.91751102291878, -87.7070536388797)"
CICERO AND WASHINGTON,1891,100 N CICERO AVENUE,11/25/2014,3,1144328.984091479,1900095.170838459,41.88187971,-87.745489247,"(41.88187970991601, -87.7454892473012)"
WESTERN AND CERMAK,1002,2200 S WESTERN AVENUE,11/25/2014,6,1160669.42562757,1889318.196820393,41.85198384,-87.685785704,"(41.85198383957328, -87.68578570420526)"
CORTLAND AND ASHLAND,1723,1600 W CORTLAND ST,11/25/2014,1,1165377.660768235,1912768.773647285,41.916235337,-87.667837772,"(41.91623533746878, -87.66783777212962)"
HOLLYWOOD AND SHERIDAN,1343,1000 W HOLLYWOOD AVE,11/25/2014,8,1168580.228926466,1938090.295189338,41.985649799,-87.655335807,"(41.98564979859328, -87.65533580655139)"
DIVISION AND DAMEN,1733,2000 W DIVISION,11/25/2014,8,1162815.710860194,1908034.672555531,41.903298793,-87.677383247,"(41.903298792681944, -87.67738324739636)"
HALSTED AND FULLERTON,1701,2400 N HALSTED STREET,11/25/2014,2,1170501.602639925,1916200.061550148,41.925540315,-87.648912156,"(41.925540315431995, -87.64891215551155)"
WENTWORTH AND GARFIELD,2261,5500 S WENTWORTH AVEN,11/25/2014,10,,,,,
GARFIELD AND ASHLAND,2272,5500 S ASHLAND AVENUE,11/25/2014,4,1166573.960309557,1868083.777885787,41.793590116,-87.664720996,"(41.793590115883404, -87.66472099593501)"
CERMAK AND PULASKI,2332,2200 S PULASKI,11/25/2014,1,1150012.876838243,1889071.75851865,41.851521442,-87.724904787,"(41.85152144233116, -87.7249047867499)"
CICERO AND WASHINGTON,1892,100 N CICERO AVENUE,11/25/2014,3,1144328.984091479,1900095.170838459,41.88187971,-87.745489247,"(41.88187970991601, -87.7454892473012)"
CLARK AND IRVING PARK,1093,1300 W IRVING PARK ROAD,11/25/2014,2,1166777.545456989,1926719.73687357,41.954487567,-87.662293496,"(41.95448756687966, -87.66229349585691)"
LAFAYETTE AND 87TH,2502,8700 S LAFAYETTE AVEN,11/25/2014,13,1177417.493180297,1847243.988223464,41.73616511,-87.625587569,"(41.73616511008592, -87.62558756899932)"
31ST ST AND MARTIN LUTHER KING DRIVE,2121,3100 S DR MARTIN L KING,11/25/2014,28,,,,,
ASHLAND AND FULLERTON,1651,2400 N ASHLAND AVENUE,11/25/2014,9,1165228.073342838,1916032.319169157,41.92519389,-87.668294363,"(41.92519388981048, -87.66829436339881)"
PERSHING AND WESTERN,2112,3900 S WESTERN BLVD,11/25/2014,4,1161130.992078755,1878746.226354636,41.822963628,-87.684384785,"(41.82296362788048, -87.68438478541296)"
WESTERN AND CHICAGO,1943,2400 W CHICAGO AVE,11/25/2014,2,1160226.686812944,1905300.904544474,41.895851041,-87.686968935,"(41.895851041123755, -87.68696893468467)"
CALIFORNIA AND PETERSON,1313,2800 W PETERSON AVENUE,11/25/2014,2,1156569.515341857,1939784.830544118,41.990552082,-87.699464396,"(41.990552081681564, -87.69946439622785)"
ASHLAND AND IRVING PARK,1151,4000 N ASHLAND AVENUE,11/25/2014,1,1164899.463802581,1926665.661118925,41.954379326,-87.66919912,"(41.954379326212695, -87.66919911980419)"
FOSTER AND BROADWAY,1111,5200 N BROADWAY ST,11/25/2014,9,1167334.508577915,1934714.008346532,41.976412143,-87.660015082,"(41.97641214294823, -87.66001508205365)"
HALSTED AND 95TH,2581,9500 S HALSTED STREET,11/25/2014,4,1172610.538363645,1841811.61926207,41.721365061,-87.643358042,"(41.72136506078306, -87.64335804234075)"
KEDZIE AND ARMITAGE,1832,2000 N KEDZIE AVENUE,11/25/2014,8,1154684.031809326,1913129.496340896,41.917446172,-87.707116072,"(41.91744617191702, -87.70711607187832)"
HALSTED AND DIVISION,1714,800 W DIVISION,11/25/2014,2,1170767.827960358,1908259.644151662,41.903745557,-87.648167011,"(41.90374555734733, -87.64816701062779)"
CANAL AND ROOSEVELT,2291,1200 S CANAL STREET,11/25/2014,5,1173268.771030949,1894952.634878732,41.867175125,-87.639375813,"(41.86717512472001, -87.63937581258092)"
CICERO AND CHICAGO,1781,800 N CICERO AVENUE,11/25/2014,1,1144169.162482127,1904893.189220372,41.895049038,-87.745955516,"(41.89504903796389, -87.74595551626888)"
HAMLIN AND MADISON,1903,3800 W MADISON STREET,11/25/2014,8,1151032.709141294,1899784.033986533,41.880897273,-87.720881226,"(41.880897273491264, -87.72088122613924)"
63RD AND STATE,2714,1 E 63RD ST,11/25/2014,12,1177367.518733101,1863199.17768559,41.779949105,-87.625289553,"(41.779949104569106, -87.62528955333775)"
CHICAGO AND CLARK,1963,100 W CHICAGO AVENUE,11/25/2014,6,1175374.528739575,1905745.47783364,41.896744347,-87.631321248,"(41.896744346875806, -87.63132124815151)"
ASHLAND AND DIVERSEY,1621,2800 N ASHLAND AVENUE,11/25/2014,5,1165139.964068357,1918674.245501741,41.932445362,-87.66854285,"(41.93244536200095, -87.6685428496422)"
HALSTED AND MADISON,1872,1 N HALSTED STREET,11/25/2014,1,1171090.967986833,1900270.454015136,41.881815632,-87.647214717,"(41.88181563164203, -87.64721471704077)"
LASALLE AND KINZIE,1921,400 N LASALLE,11/25/2014,3,1175028.579766798,1903002.552291359,41.889225372,-87.632674115,"(41.88922537162015, -87.63267411498495)"
CENTRAL AND CHICAGO,1973,5600 W CHICAGO AVENUE,11/25/2014,1,1138858.856732452,1904825.827586656,41.894962293,-87.765460791,"(41.89496229349977, -87.76546079122906)"
HAMLIN AND MADISON,1901,0 N HAMLIN BOULEVARD,11/25/2014,1,,,,,
KEDZIE AND 31ST,2132,3100 S KEDZIE AVENUE,11/25/2014,2,1155483.167539854,1883867.660503274,41.837132671,-87.704967115,"(41.837132671422296, -87.70496711478727)"
CICERO AND CHICAGO,1783,4800 W CHICAGO AVENUE,11/25/2014,3,1144175.291152764,1904916.255225279,41.895112219,-87.745932427,"(41.89511221857764, -87.74593242701515)"
WESTERN AND FOSTER,1072,5200 N WESTERN AVE,11/25/2014,2,1159372.922497116,1934478.313674003,41.975933372,-87.689299589,"(41.97593337199358, -87.6892995891816)"
PULASKI AND 63RD,2342,6300 S PULASKI RD,11/25/2014,5,1150746.00309079,1862516.747695325,41.778636469,-87.722906356,"(41.77863646878099, -87.72290635568541)"
CALIFORNIA AND PETERSON,1311,6000 N CALIFORNIA AVE,11/25/2014,1,1156545.742699118,1939775.775541795,41.990527717,-87.699552084,"(41.990527717148176, -87.69955208405155)"
31ST ST AND MARTIN LUTHER KING DRIVE,2123,400 E 31ST STREET,11/25/2014,2,1179437.985396417,1884565.84226022,41.838534018,-87.617046113,"(41.838534018118914, -87.61704611345726)"
VAN BUREN AND WESTERN,2052,400 S WESTERN AVENUE,11/25/2014,22,1160431.682297829,1898091.942371589,41.876064776,-87.686415631,"(41.87606477642526, -87.68641563098768)"
WESTERN AND DEVON,1212,6400 N WESTERN AVENUE,11/25/2014,1,1159113.585759434,1942451.622367891,41.997817807,-87.690033035,"(41.997817807026, -87.69003303469276)"
COLUMBUS AND ILLINOIS,1952,500 N COLUMBUS DRIVE,11/25/2014,1,1178372.808407292,1903693.06016042,41.891044569,-87.620371839,"(41.891044569124276, -87.620371839074)"
HALSTED AND 103RD,2592,10300 S HALSTED STREE,11/25/2014,3,,,,,
87TH AND VINCENNES,2412,8700 S VINCENNES,11/25/2014,5,1172026.328989535,1847142.496643776,41.736006565,-87.645341819,"(41.73600656458518, -87.64534181897955)"
CENTRAL AND FULLERTON,1442,2400 N CENTRAL AVENUE,11/25/2014,1,1138603.468418662,1915431.058212414,41.924068922,-87.766141214,"(41.92406892227644, -87.76614121413186)"
STONEY ISLAND AND 79TH,2464,1600 E 79TH ST,11/25/2014,1,1188284.704439907,1852964.829047574,41.751611523,-87.585592284,"(41.75161152327319, -87.58559228428787)"
HALSTED AND NORTH,1764,800 W NORTH AVENUE,11/25/2014,1,1170700.68422007,1910913.190749698,41.91102851,-87.648335806,"(41.91102850981186, -87.64833580602037)"
KEDZIE AND 71ST,2352,7100 S KEDZIE AVENUE,11/25/2014,1,1156225.540366296,1857330.103443232,41.764295037,-87.702957162,"(41.764295036756856, -87.70295716211793)"
STONEY ISLAND AND 76TH,2632,7600 S STONY ISLAND A,11/25/2014,5,1188092.796191935,1854889.354158304,41.756897173,-87.586234285,"(41.75689717260223, -87.58623428506996)"
DIVERSEY AND AUSTIN,1454,6000 W DIVERSEY AVENUE,11/25/2014,2,1135895.736169343,1918029.70673837,41.931248624,-87.776028612,"(41.931248623643455, -87.77602861172493)"
COTTAGE GROVE AND 95TH,2603,800 E 95TH STREET,11/25/2014,7,1183230.529909316,1842186.614201556,41.722153939,-87.604447736,"(41.72215393877189, -87.60444773564429)"
ASHLAND AND FULLERTON,1652,2400 N ASHLAND AVENUE,11/25/2014,4,1165228.073342838,1916032.319169157,41.92519389,-87.668294363,"(41.92519388981048, -87.66829436339881)"
IRVING PARK AND KEDZIE,1353,3200 W IRVING PARK ROAD,11/25/2014,8,1154325.140302006,1926458.463197156,41.954029047,-87.708077494,"(41.95402904691877, -87.70807749383191)"
PULASKI AND PETERSON,1262,6000 N PULASKI ROAD,11/25/2014,1,1148598.016685695,1939584.645960177,41.990160923,-87.728790748,"(41.99016092280557, -87.72879074759867)"
35TH AND WESTERN,2091,3500 S WESTERN,11/25/2014,1,1160894.949857101,1881376.851112895,41.830187255,-87.685177925,"(41.83018725526863, -87.68517792510231)"
HALSTED AND 83RD,2642,8300 S HALSTED STREET,11/25/2014,1,1172378.202798089,1849790.199606783,41.743264491,-87.64397498,"(41.743264490643654, -87.64397498015705)"
HALSTED AND 103RD,2593,800 W 103RD STREET,11/25/2014,4,1172778.570616036,1836587.755252818,41.70702632,-87.642896007,"(41.707026319812215, -87.64289600741817)"
LAWRENCE AND WESTERN,1193,2400 W LAWRENCE AVENUE,11/25/2014,1,1159482.648570304,1931851.989492596,41.968724349,-87.688968727,"(41.96872434882172, -87.68896872699601)"
ASHLAND AND MADISON,1914,1600 W MADISON,11/25/2014,2,1165723.014733182,1900136.515489506,41.881564167,-87.666929463,"(41.8815641670199, -87.66692946294842)"
ROOSEVELT AND HALSTED,2234,800 W ROOSEVELT ROAD,11/25/2014,9,1171199.282357741,1894968.056393724,41.867263098,-87.646972686,"(41.86726309836901, -87.64697268601648)"
ASHLAND AND 47TH,2191,4700 S ASHLAND AVENUE,11/25/2014,1,1166423.624284841,1873520.235394001,41.808511597,-87.665117292,"(41.8085115972472, -87.66511729173287)"
WESTERN AND TOUHY,1252,7200 N WESTERN AVENUE,11/25/2014,1,1158975.66256211,1947754.286963361,42.012371335,-87.690393917,"(42.012371334791766, -87.69039391737863)"
ASHLAND AND DIVISION,1791,1200 N ASHLAND AVENUE,11/25/2014,5,1165466.997046718,1908083.767015974,41.903377468,-87.667643142,"(41.903377467566784, -87.66764314227497)"
HAMLIN AND LAKE,1881,300 N HAMLIN AVENUE,11/25/2014,5,1150970.026856642,1901381.688308858,41.885282636,-87.721069539,"(41.88528263580913, -87.72106953854511)"
WESTERN AND 63RD,2373,2400 W 63RD ST,11/25/2014,1,1161444.415758584,1862848.534703658,41.779331844,-87.683675761,"(41.77933184429814, -87.68367576084798)"
WESTERN AND ADDISON,1563,2400 W ADDISON,11/25/2014,2,1159719.041544334,1923878.577275797,41.946839991,-87.688320193,"(41.9468399910054, -87.68832019252964)"
PULASKI AND BELMONT,1382,3200 N PULASKI RD,11/25/2014,1,1149125.621478734,1920994.556178086,41.939138154,-87.72733371,"(41.939138153500274, -87.7273337101426)"
CERMAK AND PULASKI,2334,4000 W CERMAK,11/25/2014,1,1150018.476053666,1889120.238540361,41.851654369,-87.724882975,"(41.85165436867626, -87.7248829753078)"
CICERO AND NORTH,2034,4800 W NORTH AVENUE,11/25/2014,2,1144053.733747163,1910243.80567041,41.90973389,-87.746244973,"(41.909733890131285, -87.74624497295898)"
55TH and PULASKI,2242,5500 S PULASKI,11/25/2014,2,1150600.072649439,1867806.44512718,41.793155061,-87.723303765,"(41.793155060731024, -87.72330376464247)"
FOSTER AND BROADWAY,1113,1200 W FOSTER AVE,11/25/2014,4,1167357.095930752,1934721.393266777,41.97643192,-87.659931806,"(41.97643192018459, -87.65993180604016)"
DAMEN AND 63RD,2701,6300 S DAMEN AVENUE,11/25/2014,2,1164069.407943298,1862830.277442834,41.779226921,-87.674052731,"(41.77922692069256, -87.67405273137854)"
LASALLE AND KINZIE,1923,140 W KINZIE,11/25/2014,1,1175048.09765242,1903028.894760294,41.889297219,-87.632601648,"(41.88929721947309, -87.63260164817305)"
CICERO AND HARRISON,2022,600 S CICERO AVENUE,11/25/2014,4,1144444.97442848,1896894.622216872,41.873094833,-87.745143869,"(41.873094832519136, -87.74514386884542)"
FULLERTON AND NARRAGANSETT,1553,6400 W FULLERTON AVENU,11/25/2014,3,1133317.594499059,1915293.661305931,41.923786189,-87.785567206,"(41.92378618871128, -87.78556720562165)"
