,Neighborhood,Unnamed: 0.1.1.1,closed,closed_date,coordinates,duplicate_verified,lat,long,mobile_web_status,open,override_duplicate,requested_datetime,sap_problem_type,service_name,status_description,Duration to Close (Hrs),Neighborhood Prices
45,Paradise Hills,,1.0,2017-05-17 00:02:00,32.67977359999999-117.0588194,0.0,32.679773600000004,-117.05881940000002,Closed,0.0,0.0,2017-05-07 16:36:00,Pothole,Pothole,Closed,223.4333333333333,307.0
47,Bay Ho,,1.0,2017-05-23 00:03:00,32.80833530174182-117.21092867088623,0.0,32.8083353017,-117.210928671,Closed,0.0,1.0,2017-05-07 10:28:00,Pothole,Pothole,Closed,373.58333333333326,434.0
48,Bay Ho,,1.0,2017-05-23 00:03:00,32.812435-117.21482800000001,0.0,32.812435,-117.214828,Closed,0.0,1.0,2017-05-07 10:27:00,Pothole,Pothole,Closed,373.6,434.0
50,Rancho Bernardo,,1.0,2017-05-11 00:02:00,33.00618525769934-117.0730794928619,1.0,33.0061852577,-117.073079493,Closed,0.0,0.0,2017-05-06 14:27:00,Pothole,Pothole,Closed,105.58333333333331,335.0
52,Bay Park,,1.0,2017-05-16 00:03:00,32.81160333333333-117.2008883333333,1.0,32.8116033333,-117.200888333,Closed,0.0,1.0,2017-05-05 20:22:00,Pothole,Pothole,Closed,243.6833333333333,435.0
53,Bay Ho,,1.0,2017-05-23 00:03:00,32.83863478283087-117.2155593075857,0.0,32.8386347828,-117.215559308,Closed,0.0,1.0,2017-05-05 17:58:00,Pothole,Pothole,Closed,414.08333333333326,434.0
55,Logan Heights,,1.0,2017-05-17 00:02:00,32.695927576280326-117.13429282960936,0.0,32.6959275763,-117.13429283,Closed,0.0,0.0,2017-05-05 15:09:00,Pothole,Pothole,Closed,272.8833333333333,384.0
57,Paradise Hills,,1.0,2017-05-12 00:02:00,32.671362-117.059413,1.0,32.671362,-117.05941299999999,Closed,0.0,0.0,2017-05-05 09:23:00,Pothole,Pothole,Closed,158.65,307.0
58,Paradise Hills,,1.0,2017-05-17 00:02:00,32.681204-117.054751,0.0,32.681204,-117.054751,Closed,0.0,0.0,2017-05-05 09:21:00,Pothole,Pothole,Closed,278.68333333333334,307.0
59,Mira Mesa,,1.0,2017-05-23 00:03:00,32.924848583093606-117.13032656477838,0.0,32.9248485831,-117.130326565,Closed,0.0,1.0,2017-05-05 08:03:00,Pothole,Pothole,Closed,424.0,363.0
60,Mira Mesa,,1.0,2017-05-23 00:03:00,32.91187292890739-117.13231251855467,0.0,32.911872928899996,-117.132312519,Closed,0.0,0.0,2017-05-05 07:58:00,Pothole,Pothole,Closed,424.08333333333326,363.0
61,Rancho Bernardo,,1.0,2017-05-11 00:02:00,32.997717577948606-117.06737711534424,1.0,32.9977175779,-117.067377115,Closed,0.0,0.0,2017-05-05 07:44:00,Pothole,Pothole,Closed,136.3,335.0
66,Bay Park,,1.0,2017-05-13 00:02:00,32.77652489518135-117.2010114195527,1.0,32.7765248952,-117.20101142,Closed,0.0,0.0,2017-05-04 16:05:00,Pothole,Pothole,Closed,199.95,435.0
68,La Jolla,,1.0,2017-05-13 00:02:00,32.861743-117.242043,1.0,32.861743,-117.242043,Closed,0.0,0.0,2017-05-04 14:32:00,Pothole,Pothole,Closed,201.5,787.0
69,Logan Heights,,1.0,2017-05-17 00:02:00,32.69968383017248-117.1315832902837,0.0,32.6996838302,-117.13158329,Closed,0.0,0.0,2017-05-04 12:00:00,Pothole,Pothole,Closed,300.03333333333336,384.0
71,North Clairemont,,1.0,2017-05-23 00:03:00,32.83591335176754-117.1853562166143,0.0,32.835913351799995,-117.185356217,Closed,0.0,0.0,2017-05-04 08:48:00,Pothole,Pothole,Closed,447.25,431.0
72,North Park,,1.0,2017-05-10 00:03:00,32.74903270000001-117.13037689999999,0.0,32.7490327,-117.1303769,Closed,0.0,1.0,2017-05-04 07:42:00,Pothole,Pothole,Closed,136.35,465.0
73,La Jolla,,1.0,2017-05-17 00:02:00,32.8129525-117.2683677,1.0,32.8129525,-117.26836770000001,Closed,0.0,0.0,2017-05-03 21:05:00,Pothole,Pothole,Closed,314.95,787.0
74,Egger Highlands,,1.0,2017-05-12 00:02:00,32.58062758275784-117.10291652603149,0.0,32.580627582800005,-117.102916526,Closed,0.0,0.0,2017-05-03 19:26:00,Pothole,Pothole,Closed,196.6,305.0
75,Paradise Hills,,1.0,2017-05-17 00:02:00,32.67576812377848-117.05008488491796,0.0,32.675768123800005,-117.050084885,Closed,0.0,0.0,2017-05-03 18:31:00,Pothole,Pothole,Closed,317.51666666666665,307.0
76,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.808985-117.119143,1.0,32.808985,-117.119143,Closed,0.0,0.0,2017-05-03 17:51:00,Pothole,Pothole,Closed,222.1833333333333,355.0
77,Kearny Mesa,,1.0,2017-05-12 00:02:00,32.81683509163748-117.1241351198353,1.0,32.8168350916,-117.12413512,Closed,0.0,0.0,2017-05-03 15:42:00,Pothole,Pothole,Closed,200.33333333333331,355.0
78,Bay Park,,1.0,2017-05-23 00:03:00,32.7927136-117.20659740000002,0.0,32.7927136,-117.20659740000002,Closed,0.0,0.0,2017-05-03 11:51:00,Pothole,Pothole,Closed,468.2,435.0
79,Miramar Ranch North,,1.0,2017-05-18 00:02:00,32.9388038-117.10494490000002,1.0,32.9388038,-117.1049449,Closed,0.0,0.0,2017-05-03 11:38:00,Pothole,Pothole,Closed,348.4,348.0
80,Otay Mesa West,,1.0,2017-05-12 00:02:00,32.584037-117.055864,0.0,32.584037,-117.05586399999999,Closed,0.0,0.0,2017-05-03 11:36:00,Pothole,Pothole,Closed,204.4333333333333,289.0
81,Morena,,1.0,2017-05-23 00:03:00,32.7666759-117.18998899999997,1.0,32.766675899999996,-117.18998899999998,Closed,0.0,0.0,2017-05-03 08:24:00,Pothole,Pothole,Closed,471.65,371.0
82,Morena,,1.0,2017-05-23 00:03:00,32.76664090345871-117.190231550594,0.0,32.7666409035,-117.19023155100001,Closed,0.0,0.0,2017-05-03 07:59:00,Pothole,Pothole,Closed,472.06666666666666,371.0
87,Rancho Bernardo,,1.0,2017-05-11 00:02:00,33.03611942080528-117.08007483406067,1.0,33.0361194208,-117.080074834,Closed,0.0,0.0,2017-05-02 17:12:00,Pothole,Pothole,Closed,198.83333333333331,335.0
90,North Park,,1.0,2017-05-04 00:02:00,32.74644009492846-117.14345692266238,1.0,32.746440094899995,-117.14345692299999,Closed,0.0,0.0,2017-05-02 16:59:00,Pothole,Pothole,Closed,31.05,465.0
91,Clairemont Mesa West,,1.0,2017-05-16 00:03:00,32.822842-117.19554099999999,1.0,32.822842,-117.19554099999999,Closed,0.0,0.0,2017-05-02 16:09:00,Pothole,Pothole,Closed,319.9,384.0
92,Serra Mesa,,1.0,2017-05-12 00:02:00,32.80873652567489-117.1340675873462,1.0,32.8087365257,-117.134067587,Closed,0.0,0.0,2017-05-02 14:56:00,Pothole,Pothole,Closed,225.1,374.0
93,Skyline,,1.0,2017-05-17 00:02:00,32.7054302-117.03419009999999,0.0,32.705430199999995,-117.03419009999999,Closed,0.0,0.0,2017-05-02 13:37:00,Pothole,Pothole,Closed,346.41666666666674,306.0
96,Bay Park,,1.0,2017-05-13 00:02:00,32.77666054669095-117.2009092570443,1.0,32.7766605467,-117.200909257,Closed,0.0,0.0,2017-05-02 12:28:00,Pothole,Pothole,Closed,251.56666666666663,435.0
97,Valencia Park,,1.0,2017-05-17 00:02:00,32.69791791662456-117.0815431915052,0.0,32.6979179166,-117.08154319200001,Closed,0.0,0.0,2017-05-02 10:23:00,Pothole,Pothole,Closed,349.65,316.0
98,Kearny Mesa,,1.0,2017-05-09 00:03:00,32.82069029651022-117.1243868033962,1.0,32.820690296500004,-117.124386803,Closed,0.0,0.0,2017-05-02 09:29:00,Pothole,Pothole,Closed,158.56666666666666,355.0
100,Kearny Mesa,,1.0,2017-05-12 00:02:00,32.81845-117.125543,1.0,32.81845,-117.125543,Closed,0.0,0.0,2017-05-02 02:24:00,Pothole,Pothole,Closed,237.63333333333333,355.0
101,La Jolla,,1.0,2017-05-17 00:02:00,32.8270306298815-117.2711232864459,1.0,32.8270306299,-117.271123286,Closed,0.0,0.0,2017-05-01 19:55:00,Pothole,Pothole,Closed,364.11666666666673,787.0
102,La Jolla,,1.0,2017-05-17 00:02:00,32.82705175227749-117.2710995656599,1.0,32.8270517523,-117.271099566,Closed,0.0,0.0,2017-05-01 19:54:00,Pothole,Pothole,Closed,364.13333333333327,787.0
104,Clairemont Mesa West,,1.0,2017-05-16 00:03:00,32.823726-117.195238,1.0,32.823726,-117.19523799999999,Closed,0.0,0.0,2017-05-01 11:26:00,Pothole,Pothole,Closed,348.61666666666673,384.0
105,Kearny Mesa,,1.0,2017-05-12 00:02:00,32.81844-117.123674,1.0,32.81844,-117.123674,Closed,0.0,0.0,2017-05-01 08:09:00,Pothole,Pothole,Closed,255.88333333333333,355.0
106,Mira Mesa,,1.0,2017-05-23 00:03:00,32.9243094893479-117.1334665362883,1.0,32.9243094893,-117.133466536,Closed,0.0,0.0,2017-05-01 06:44:00,Pothole,Pothole,Closed,521.3166666666667,363.0
107,Logan Heights,,1.0,2017-05-03 00:03:00,32.69595642074455-117.1338014257995,1.0,32.6959564207,-117.133801426,Closed,0.0,0.0,2017-04-30 21:21:00,Pothole,Pothole,Closed,50.7,384.0
108,Mira Mesa,,1.0,2017-05-23 00:03:00,32.9058401-117.15479499999998,0.0,32.9058401,-117.154795,Closed,0.0,0.0,2017-04-30 17:33:00,Pothole,Pothole,Closed,534.5,363.0
109,Mira Mesa,,1.0,2017-05-23 00:03:00,32.9060216-117.15469619999999,1.0,32.9060216,-117.1546962,Closed,0.0,0.0,2017-04-30 17:32:00,Pothole,Pothole,Closed,534.5166666666668,363.0
110,Clairemont Mesa East,,1.0,2017-05-09 00:03:00,32.8077013-117.15557509999996,1.0,32.807701300000005,-117.1555751,Closed,0.0,0.0,2017-04-30 17:26:00,Pothole,Pothole,Closed,198.61666666666667,392.0
111,Linda Vista,,1.0,2017-05-16 00:02:00,32.77995-117.1703033333333,0.0,32.77995,-117.17030333299999,Closed,0.0,0.0,2017-04-30 14:44:00,Pothole,Other,Closed,369.3,378.0
112,Midway District,,1.0,2017-05-23 00:03:00,32.753883-117.203485,0.0,32.753883,-117.20348500000001,Closed,0.0,0.0,2017-04-30 11:47:00,Pothole,Pothole,Closed,540.2666666666668,421.0
113,Encanto,,1.0,2017-05-10 00:03:00,32.69937999999999-117.06740000000002,0.0,32.69938,-117.0674,Closed,0.0,0.0,2017-04-29 19:39:00,Pothole,Pothole,Closed,244.4,312.0
114,Bay Ho,,1.0,2017-05-23 00:03:00,32.81197348693178-117.2145822041418,1.0,32.8119734869,-117.214582204,Closed,0.0,0.0,2017-04-29 18:57:00,Pothole,Pothole,Closed,557.1,434.0
115,Bay Ho,,1.0,2017-05-23 00:03:00,32.81215396712796-117.2147502937514,1.0,32.8121539671,-117.214750294,Closed,0.0,0.0,2017-04-29 18:56:00,Pothole,Pothole,Closed,557.1166666666667,434.0
116,La Jolla,,1.0,2017-05-03 00:03:00,32.865165136448994-117.25222256265054,0.0,32.8651651364,-117.25222256299999,Closed,0.0,1.0,2017-04-29 17:37:00,Pothole,Pothole,Closed,78.43333333333334,787.0
117,Clairemont Mesa East,,1.0,2017-05-09 00:03:00,32.8077013-117.15557509999996,1.0,32.807701300000005,-117.1555751,Closed,0.0,0.0,2017-04-29 15:31:00,Pothole,Pothole,Closed,224.53333333333333,392.0
118,Sorrento Valley,,1.0,2017-05-13 00:02:00,32.90244163877804-117.2212842659618,1.0,32.9024416388,-117.221284266,Closed,0.0,0.0,2017-04-29 13:07:00,Pothole,Pothole,Closed,322.9166666666667,360.0
119,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.83137694004255-117.1307419148433,0.0,32.83137694,-117.130741915,Closed,0.0,1.0,2017-04-29 12:59:00,Pothole,Pothole,Closed,323.05,355.0
120,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.808891-117.119128,1.0,32.808890999999996,-117.119128,Closed,0.0,0.0,2017-04-29 12:46:00,Pothole,Pothole,Closed,323.26666666666665,355.0
121,Paradise Hills,,1.0,2017-05-10 00:03:00,32.667018-117.06253,0.0,32.667018,-117.06253000000001,Closed,0.0,0.0,2017-04-29 12:33:00,Pothole,Pothole,Closed,251.5,307.0
122,Clairemont Mesa East,,1.0,2017-05-09 00:03:00,32.80781909496813-117.1549797759186,1.0,32.807819095,-117.154979776,Closed,0.0,0.0,2017-04-29 09:53:00,Pothole,Pothole,Closed,230.16666666666663,392.0
124,Egger Highlands,,1.0,2017-05-12 00:02:00,32.5824640983251-117.0927662032694,1.0,32.5824640983,-117.092766203,Closed,0.0,0.0,2017-04-29 09:43:00,Pothole,Pothole,Closed,302.31666666666666,305.0
129,Tierrasanta,,1.0,2017-05-04 00:02:00,32.8379643615641-117.1037013922977,1.0,32.8379643616,-117.103701392,Closed,0.0,0.0,2017-04-28 14:02:00,Pothole,Pothole,Closed,130.0,342.0
130,Bay Terraces,,1.0,2017-05-17 00:02:00,32.684938-117.050228,0.0,32.684938,-117.050228,Closed,0.0,1.0,2017-04-28 13:52:00,Pothole,Pothole,Closed,442.16666666666674,274.0
131,Hillcrest,,1.0,2017-05-05 00:02:00,32.74649441245268-117.1483723261553,1.0,32.7464944125,-117.148372326,Closed,0.0,0.0,2017-04-28 13:13:00,Pothole,Pothole,Closed,154.81666666666666,453.0
133,Hillcrest,,1.0,2017-05-05 00:02:00,32.74642285355642-117.1482590279527,1.0,32.7464228536,-117.148259028,Closed,0.0,0.0,2017-04-28 13:11:00,Pothole,Pothole,Closed,154.85,453.0
134,Bay Terraces,,1.0,2017-05-17 00:02:00,32.684938-117.050228,0.0,32.684938,-117.050228,Closed,0.0,0.0,2017-04-28 12:59:00,Pothole,Pothole,Closed,443.05,274.0
136,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.83280251219328-117.14580890223286,0.0,32.8328025122,-117.14580890200001,Closed,0.0,1.0,2017-04-28 11:51:00,Pothole,Pothole,Closed,348.1833333333333,355.0
137,Bay Ho,,1.0,2017-05-23 00:03:00,32.81218252252953-117.21472071163941,1.0,32.8121825225,-117.214720712,Closed,0.0,0.0,2017-04-28 10:14:00,Pothole,Pothole,Closed,589.8166666666667,434.0
138,Valencia Park,,1.0,2017-05-10 00:03:00,32.69359467161538-117.08489692394255,0.0,32.693594671599996,-117.08489692399999,Closed,0.0,0.0,2017-04-28 09:17:00,Pothole,Pothole,Closed,278.76666666666665,316.0
140,Grantville,,1.0,2017-05-10 00:03:00,32.790217466340906-117.10590283226315,1.0,32.7902174663,-117.10590283200001,Closed,0.0,0.0,2017-04-27 18:59:00,Pothole,Pothole,Closed,293.06666666666666,340.0
141,Rancho Bernardo,,1.0,2017-05-11 00:02:00,32.99999916463438-117.078457698335,1.0,32.9999991646,-117.078457698,Closed,0.0,0.0,2017-04-27 18:53:00,Pothole,Pothole,Closed,317.15,335.0
142,Rancho Bernardo,,1.0,2017-05-11 00:02:00,32.99971300646011-117.0785147790956,0.0,32.9997130065,-117.078514779,Closed,0.0,0.0,2017-04-27 18:53:00,Pothole,Pothole,Closed,317.15,335.0
143,Hillcrest,,1.0,2017-05-02 00:02:00,32.74930582850496-117.1524277423668,1.0,32.7493058285,-117.15242774200001,Closed,0.0,0.0,2017-04-27 18:32:00,Pothole,Pothole,Closed,101.5,453.0
144,Hillcrest,,1.0,2017-05-02 00:02:00,32.74927737194369-117.1524278261858,1.0,32.7492773719,-117.15242782600001,Closed,0.0,0.0,2017-04-27 18:32:00,Pothole,Pothole,Closed,101.5,453.0
145,Hillcrest,,1.0,2017-05-02 00:02:00,32.74923692926089-117.1524815541852,1.0,32.7492369293,-117.15248155399999,Closed,0.0,0.0,2017-04-27 18:31:00,Pothole,Pothole,Closed,101.51666666666668,453.0
146,Hillcrest,,1.0,2017-05-02 00:02:00,32.7491938881881-117.1527151578266,1.0,32.749193888200004,-117.15271515799999,Closed,0.0,0.0,2017-04-27 18:31:00,Pothole,Pothole,Closed,101.51666666666668,453.0
147,Hillcrest,,1.0,2017-05-02 00:02:00,32.749150008925-117.152830073719,1.0,32.749150008899996,-117.152830074,Closed,0.0,0.0,2017-04-27 18:31:00,Pothole,Pothole,Closed,101.51666666666668,453.0
148,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.831249-117.127165,1.0,32.831249,-117.12716499999999,Closed,0.0,0.0,2017-04-27 17:50:00,Pothole,Pothole,Closed,366.2,355.0
150,Bay Ho,,1.0,2017-05-23 00:03:00,32.810223-117.21356500000002,0.0,32.810223,-117.21356499999999,Closed,0.0,1.0,2017-04-27 15:54:00,Pothole,Pothole,Closed,608.15,434.0
151,Bay Ho,,1.0,2017-05-23 00:03:00,32.81160500000001-117.21475900000002,1.0,32.811605,-117.21475900000002,Closed,0.0,0.0,2017-04-27 15:52:00,Pothole,Pothole,Closed,608.1833333333333,434.0
152,Bay Ho,,1.0,2017-05-23 00:03:00,32.811135-117.21438799999999,1.0,32.811135,-117.21438799999999,Closed,0.0,0.0,2017-04-27 15:51:00,Pothole,Pothole,Closed,608.2,434.0
153,Bay Ho,,1.0,2017-05-23 00:03:00,32.810993-117.21426400000001,0.0,32.810992999999996,-117.21426399999999,Closed,0.0,1.0,2017-04-27 15:49:00,Pothole,Pothole,Closed,608.2333333333332,434.0
154,Bay Ho,,1.0,2017-05-23 00:03:00,32.810853-117.21414199999998,1.0,32.810853,-117.214142,Closed,0.0,0.0,2017-04-27 15:48:00,Pothole,Pothole,Closed,608.25,434.0
155,Bay Ho,,1.0,2017-05-23 00:03:00,32.811771-117.21486900000002,1.0,32.811771,-117.214869,Closed,0.0,0.0,2017-04-27 15:47:00,Pothole,Pothole,Closed,608.2666666666668,434.0
156,Bay Ho,,1.0,2017-05-23 00:03:00,32.8119882-117.214855,1.0,32.8119882,-117.214855,Closed,0.0,0.0,2017-04-27 15:45:00,Pothole,Pothole,Closed,608.3,434.0
157,Bay Ho,,1.0,2017-05-23 00:03:00,32.812105-117.21509600000002,1.0,32.812104999999995,-117.215096,Closed,0.0,0.0,2017-04-27 15:43:00,Pothole,Pothole,Closed,608.3333333333334,434.0
158,Bay Ho,,1.0,2017-05-23 00:03:00,32.8100049-117.212334,0.0,32.8100049,-117.21233400000001,Closed,0.0,0.0,2017-04-27 15:41:00,Pothole,Pothole,Closed,608.3666666666667,434.0
159,Clairemont Mesa East,,1.0,2017-05-09 00:03:00,32.807833862370295-117.15449534209537,1.0,32.807833862399995,-117.154495342,Closed,0.0,0.0,2017-04-27 15:18:00,Pothole,Pothole,Closed,272.75,392.0
160,Grantville,,1.0,2017-05-10 00:03:00,32.79008911547578-117.10613410837095,1.0,32.7900891155,-117.10613410799999,Closed,0.0,0.0,2017-04-27 14:57:00,Pothole,Pothole,Closed,297.1,340.0
162,Bay Ho,,1.0,2017-05-23 00:03:00,32.810705-117.21401200000003,1.0,32.810705,-117.21401200000001,Closed,0.0,0.0,2017-04-27 12:56:00,Pothole,Pothole,Closed,611.1166666666667,434.0
163,Pacific Beach,,1.0,2017-05-04 00:02:00,32.80573928085534-117.22057724307193,0.0,32.8057392809,-117.220577243,Closed,0.0,1.0,2017-04-27 12:45:00,Pothole,Pothole,Closed,155.28333333333333,522.0
164,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.832877-117.12652,1.0,32.832877,-117.12652,Closed,0.0,0.0,2017-04-27 10:01:00,Pothole,Pothole,Closed,374.01666666666665,355.0
165,Hillcrest,,1.0,2017-04-27 09:57:00,32.743394-117.17017800000002,0.0,32.743394,-117.170178,Closed,0.0,0.0,2017-04-27 09:52:00,Pothole,Pothole,Closed,0.08333333333333333,453.0
166,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.8327575-117.14356889999999,0.0,32.8327575,-117.1435689,Closed,0.0,0.0,2017-04-27 08:48:00,Pothole,Pothole,Closed,375.23333333333335,355.0
167,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.83140280393792-117.13719851411781,0.0,32.8314028039,-117.13719851399999,Closed,0.0,1.0,2017-04-27 08:21:00,Pothole,Pothole,Closed,375.6833333333333,355.0
168,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.80885007232566-117.1192219790918,1.0,32.8088500723,-117.119221979,Closed,0.0,0.0,2017-04-27 07:20:00,Pothole,Pothole,Closed,376.7,355.0
169,Bay Terraces,,1.0,2017-05-12 00:02:00,32.67699251296952-117.04505591316223,1.0,32.676992513,-117.045055913,Closed,0.0,0.0,2017-04-26 19:25:00,Pothole,Pothole,Closed,364.61666666666673,274.0
170,Kearny Mesa,,1.0,2017-05-13 00:02:00,32.832821-117.126579,0.0,32.832821,-117.126579,Closed,0.0,0.0,2017-04-26 18:14:00,Pothole,Pothole,Closed,389.8,355.0
173,Encanto,,1.0,2017-05-03 00:03:00,32.7292871-117.05653899999999,1.0,32.72928710000001,-117.05653899999999,Closed,0.0,0.0,2017-04-26 16:13:00,Pothole,Pothole,Closed,151.83333333333334,312.0
174,Rancho Bernardo,,1.0,2017-05-11 00:02:00,33.004106948703814-117.05788958520485,0.0,33.0041069487,-117.057889585,Closed,0.0,0.0,2017-04-26 15:49:00,Pothole,Pothole,Closed,344.21666666666664,335.0
