,pole_id,sum_trans_amt,combined_parking_meter_data
22203,13-610,525,91585
22320,13-614,775,90784
22433,13-616,510,99177
22545,13-624,925,97866
22659,13-700W1,175,715280
22773,13-700W2,3300,795846
22889,13-701,450,51660
23003,13-703,450,51042
23115,13-705,375,51484
23228,13-707,475,51110
23342,13-709,475,51564
23456,13-711,300,51880
23567,13-717,450,52162
23681,13-719,150,50602
23793,13-721,475,49360
23907,13-723,150,50060
24020,13-817,465,46573
24133,13-821,170,43579
24242,13-827,360,44489
24351,13-829,515,46213
24466,13-833,5,42020
24574,13-835,140,45934
24686,13-837,350,45236
24800,14-209,255,21725
24873,14-213,30,8745
24908,14-401,750,90483
25022,14-506,625,40618
25104,14-508,110,40261
25178,14-510,625,46624
25263,14-512,85,39812
25339,14-514,775,45891
25418,14-516,175,41308
25503,14-518,25,42742
25576,14-520,150,40736
25647,14-521,405,31497
25715,14-522,730,39962
25791,14-523,275,42815
25876,14-524,490,54958
25960,14-525,235,39454
26045,14-603,485,80517
26162,14-605,670,76110
26282,14-607,630,81545
26398,14-609,310,83469
26520,14-611,75,80921
26635,14-613,255,56053
26743,14-615,65,67265
26873,14-617,75,68975
26996,14-700,85,47509
27107,14-702,400,49519
27221,14-704,120,48337
27334,14-706,500,47307
27445,14-707,400,42833
27549,14-708,320,48273
27663,14-709,75,47655
27772,14-710,100,46223
27880,14-713,25,46070
27993,14-715,75,43703
28103,14-716,225,47682
28215,14-717,400,44439
28324,14-718,300,47605
28436,14-719,375,45833
28547,14-720,50,46539
28658,14-722,375,48904
28768,14-809,475,51240
28883,14-811,375,50640
28998,14-813,350,43435
29106,14-815,325,47837
29218,14-817,75,46502
29331,14-819,250,49898
29448,14-821,100,48779
29563,14-823,215,47733
29675,14-825,225,50335
29788,14-911,125,55438
29895,14-913,165,59536
29998,14-915,150,70926
30108,14-917,75,72759
30222,14-919,75,63085
30332,14-921,240,68165
30444,14-923,570,64867
30552,14-925,30,67934
30662,14-927,595,69883
30770,14-929,215,62341
30875,14-931,495,61871
30979,14-933,150,53912
31077,14-935,745,51948
31172,15-303,235,73147
31282,15-305,75,71151
31391,15-400,835,74459
31501,15-402,20,73926
31615,15-602,325,51083
31712,15-604,540,46537
31818,15-606,250,52694
31926,15-608,785,49088
32035,15-610,510,49375
32141,15-612,475,57053
32246,15-614,550,60139
32345,15-618,620,43078
32429,15-620,50,42864
32523,15-621,620,36714
32625,15-623,180,43894
32736,15-700,25,15354
32796,15-702,45,17535
32859,15-704,25,17875
32930,15-706,225,16764
32995,15-708,25,16710
33069,15-710,50,16124
33132,15-711,200,19780
33208,15-712,125,16227
33273,15-713,300,20580
33352,15-714,15,15618
33417,15-715,150,22980
33496,15-716,25,16454
33572,15-721,50,19978
33645,15-722,110,27946
33733,15-723,60,22690
33818,15-724,175,27579
33903,15-725,200,19070
33974,15-726,20,30694
34064,15-728,30,31482
34155,15-730,75,33492
34249,15-732,15,31520
34344,15-734,150,33724
34436,15-736,60,33799
34533,15-820,95,36130
34640,15-822,175,36010
34746,15-824,310,36379
34853,15-826,135,33745
34955,15-827,50,8320
34985,15-828,205,36330
35094,15-829,230,8835
35126,15-830,95,33736
35229,15-831,350,10265
35265,15-833,220,10279
35299,15-835,400,11065
35334,15-837,75,10275
35367,15-839,70,11390
35400,15-841,285,12500
35434,15-843,75,12635
35469,15-902,70,26690
35546,15-904,375,28894
35624,15-906,55,20460
35687,15-908,10,21990
35757,15-910,150,25650
35834,15-912,120,27375
35911,15-914,25,29279
35990,15-916,60,28823
36069,15-918,235,31920
36147,15-920,530,27275
36219,15-922,365,33463
36305,15-924,330,33152
36391,15-926,570,31873
36469,15-928,325,35183
36551,15-930,110,36244
36633,15-932,585,34035
36718,15-934,155,36823
36809,15-936,175,41423
36906,15-938,315,33718
36984,16-1004,65,61715
37081,16-1006,125,66978
37177,16-1007,100,55491
37269,16-1009,275,51704
37348,16-1011,250,61425
37438,16-1012,105,57206
37530,16-1013,275,58995
37618,16-1014,110,67253
37711,16-1015,25,48657
37794,16-1016,100,67162
37888,16-1017,95,62193
37982,16-1018,525,62783
38071,16-1019,360,53668
38162,16-1020,475,69668
38261,16-1021,200,52217
38354,16-1023,450,46302
38445,16-119,60,30539
38537,16-121,250,29469
38629,16-602,155,42076
38728,16-604,570,55783
38836,16-606,605,64990
38948,16-608,250,58280
39057,16-610,535,64031
39169,16-612,325,66654
39282,16-614,415,70940
39400,16-626,255,59091
39508,16-701,675,45145
39622,16-703,525,37207
39737,16-705,65,54433
39854,16-710,50,29819
39962,16-716,45,34840
40078,16-718,270,31484
40188,16-807,175,47523
40302,16-809,390,53981
40416,16-813,550,59352
40533,16-814,295,41584
40646,16-816,85,35873
40759,16-817,190,51344
40874,16-818,65,37060
40986,16-819,365,53732
41102,16-822,185,37448
41214,16-824,275,39469
41327,16-825,70,54179
41439,2-1303,1083,68624
41536,2-1305,100,74162
41633,2-1307,105,70886
41729,2-1309,825,73620
41825,2-1311,970,65966
41913,2-1313,525,62771
42001,2-1315,1705,63448
42088,2-1316,285,82903
42199,2-1317,720,60420
42283,2-1318,125,90463
42391,2-1320,1520,83619
42495,2-1322,1145,73105
42595,2-1323,250,70074
42697,2-1401,200,53820
42786,2-1407,125,45862
42872,2-1409,190,33522
42937,2-1410,250,32934
43012,2-1412,530,43457
43083,2-1414,805,36987
43155,2-1415,439,22742
43209,2-1416,375,28282
43262,2-1417,950,25530
43315,2-1419,150,19539
43359,2-1421,660,16459
43396,2-1423,250,17474
43439,2-1521,520,53144
43530,2-1523,400,57583
43623,2-1706,345,49029
43724,2-1708,720,46191
43821,2-1710,520,52151
43926,2-1712,390,50441
44027,2-1714,190,51567
44127,2-1800,295,59113
44231,2-1818,50,64780
44336,2-1820,650,59823
44441,2-1822,865,61850
44542,2-3400,125,40100
44638,2-3402,539,33924
44725,2-3404,70,27879
44807,2-3406,300,22394
44882,2-3408,750,20608
44960,2-3410,500,20740
45029,2-3413,250,16938
45090,2-400E1,7230,825588
45207,2-400E2,5620,735839
45322,2-400W1,4775,413211
45440,2-400W2,4080,576660
45553,2-500E,8050,1057260
45669,2-500W1,4880,558454
45784,2-500W2,3625,414122
45899,2-600W,5655,802097
46016,2-601,715,76795
46128,2-603,500,70444
46238,2-605,550,77938
46352,2-613,960,84408
46454,2-615,400,78419
46559,2-617,795,80156
46670,2-619,325,63373
46769,28-1219,10,44120
46880,28-1221,150,35005
46993,28-1223,40,61769
47112,28-1225,225,55013
47232,28-1227,25,53390
47355,28-1229,395,48269
47469,28-1231,495,44718
47584,28-1233,370,42310
47705,28-1235,415,44005
47824,3-1001,25,46255
47922,3-1003,550,54875
48027,3-1005,280,55278
48137,3-1007,760,46775
48244,3-1014,830,43905
48353,3-1016,170,46720
48454,3-1018,25,49399
48563,3-1020,305,41370
48673,3-1116,705,38190
48779,3-1118,500,32675
48878,3-1203,285,24615
48985,3-1205,330,31750
49098,3-1207,960,76386
49215,3-1209,910,66482
49327,3-1218,60,32105
49426,3-1220,535,17210
49522,3-1221,860,82875
49635,3-1223,605,79712
49746,3-1300,475,66079
49851,3-1301,570,94242
49960,3-1302,1285,66247
50062,3-1303,1215,98934
50174,3-1304,175,82795
50283,3-1305,25,92500
50397,3-1306,25,76329
50503,3-1308,105,76910
50610,3-1310,550,82838
50714,3-1312,135,87122
50819,3-1313,325,42142
50911,3-1314,150,71706
51014,3-1316,110,84995
51122,3-1320,930,88620
51227,3-1322,10,83046
51336,3-1406,125,62435
51435,3-1408,135,57176
51528,3-1410,200,49606
51620,3-1412,370,34088
51693,3-1416,185,25215
51746,3-1420,125,17530
51784,3-1509,350,44430
51871,3-1511,200,47530
51962,3-1519,385,50674
52051,3-1521,875,59028
52149,3-1602,50,82669
52253,3-1603,855,91643
52355,3-1604,250,87654
52463,3-1605,560,94052
52570,3-1606,825,88158
52680,3-1607,450,91134
52789,3-1609,175,84268
52894,3-1611,125,96539
53006,3-1613,250,85984
53113,3-1615,25,82775
53218,3-1617,300,75065
53320,3-1619,300,77716
53422,3-1621,805,60945
53510,3-1623,230,59851
53611,3-1625,175,52735
53701,3-1627,130,50325
53785,3-2101,220,35950
53873,3-2109,25,22764
53949,3-2111,250,10534
54002,3-2113,250,8895
54047,3-2115,150,5904
54079,3-2117,250,4644
54102,3-2119,125,3615
54120,3-2121,250,6614
54162,3-2131,70,5179
54195,3-2133,25,7075
54233,3-2135,250,9678
54278,3-2137,75,9990
54320,3-2139,130,11905
54391,3-2141,250,22713
54480,3-2214,20,42279
54584,3-2216,30,26615
54671,3-2220,630,46398
54774,3-2222,435,46955
54873,3-2224,325,46992
54972,3-2405,115,44360
55074,3-2407,625,27748
55156,3-2411,455,36198
55250,3-2413,475,42479
55353,3-2417,125,52373
55457,3-2421,300,55944
55561,3-2423,250,37644
55655,3-2442,200,63562
55760,3-2444,470,58866
55863,3-303,250,103416
55975,3-305,1035,100671
56090,3-307,1140,106600
56205,3-313,1000,91943
56316,3-323,445,79392
56428,3-3401,130,50432
56533,3-3404,745,45124
56635,3-3405,475,58525
56743,3-3406,375,19574
56808,3-3407,175,49059
56910,3-3408,100,34538
56995,3-3409,275,63155
57099,3-3410,100,37856
57192,3-3412,50,39834
57295,3-3822,1090,98283
57404,3-3823,1080,98913
57519,3-3824,685,106873
57634,3-3825,364,94634
57747,3-3827,480,97073
57862,3-3900,250,99766
57977,3-3901,375,107278
58091,3-3902,1029,65967
58203,3-3903,625,104424
58316,3-3905,735,104140
58430,3-3907,925,101382
58545,3-3909,330,105257
58660,3-3941,75,95167
58778,3-3943,820,96943
58895,3-3945,575,98367
59013,3-400W,6839,676906
59131,3-4013,50,58220
59244,3-4015,830,66194
59354,3-4017,935,63403
59462,3-4019,110,66070
59575,3-407,1070,62504
59660,3-411,630,49742
59729,3-413,1000,73315
59837,3-415,425,75263
59937,3-419,10,79495
60045,3-427,310,69676
60142,3-438,749,87843
60250,3-440,425,91461
60362,3-442,1145,101710
60476,3-444,1135,98582
60583,3-500E,5155,722047
60701,3-500W1,25,392686
60816,3-500W2,12375,1325312
60932,3-512,695,65109
61046,3-513,125,27115
61155,3-514,1045,69808
61270,3-600,955,77484
61375,3-601,235,80289
61482,3-602,650,67641
61587,3-603,1195,77857
61702,3-605,620,72627
61813,3-608,20,73144
61920,3-610,380,73246
62029,3-611,325,71617
62128,3-616,1100,69007
62228,3-617,850,72662
62330,3-619,820,93076
62445,3-621,775,79232
62555,3-622,330,62622
62659,3-623,190,73500
62768,30-2313,260,43164
62878,30-2315,115,49646
62994,30-3350,160,24110
63062,30-3352,610,63944
63168,30-3354,530,73891
63285,30-3356,395,79706
63403,30-4316,175,46783
63518,30-4318,70,18314
63605,30-4319,265,23499
63700,30-4320,195,15250
63777,30-4321,340,16950
63852,30-4322,125,9462
63913,30-4323,350,31954
64017,30-4324,110,10544
64078,30-4326,185,9415
64135,30-4328,125,4310
64163,30-4330,60,4255
64195,30-4332,50,6810
64227,30-4334,125,8279
64274,30-4335,295,15425
64346,30-4336,450,10433
64390,30-4337,60,23919
64489,30-4339,100,41438
64595,30-4342,295,22205
64685,30-4344,125,17827
64767,30-4345,25,19109
64850,30-4347,114,29492
64949,30-4641,655,94146
65064,30-4651,860,90660
65173,30-4707,550,103073
65291,30-4709,805,97417
65411,30-4711,794,101016
65529,30-4713,1120,95869
65644,30-4715,305,92642
65762,4-1011,640,81784
65871,4-1013,425,88882
65981,4-1019,50,71823
66091,4-1021,635,88641
66204,4-1204,570,57669
66312,4-1206,365,64652
66425,4-1208,410,59260
66535,4-1210,300,57496
66647,4-1216,350,58632
66762,4-1218,40,58401
66875,4-1222,35,24180
66968,4-1224,530,23585
67061,4-1300,500,87955
67173,4-1302,675,97799
67285,4-1304,550,85952
67397,4-1306,175,90987
67510,4-1310,800,68738
67596,4-1312,175,69753
67680,4-1313,400,65888
67789,4-1314,865,65079
67873,4-1315,295,77438
67985,4-1316,950,73077
68070,4-1317,500,88529
68180,4-1319,250,84575
68292,4-1321,355,92609
68403,4-1410,525,82836
68505,4-1412,510,83135
68619,4-1414,1100,87262
68730,4-1415,200,29969
68771,4-1417,30,35292
68814,4-1419,1205,32555
68854,4-1421,110,28353
68889,4-1423,15,31864
68949,4-1424,1010,80330
69054,4-1500,235,71651
69159,4-1501,400,50545
69259,4-1502,250,71144
69365,4-1503,575,58448
69474,4-1504,275,66098
69573,4-1506,890,67892
69679,4-1514,80,55593
69782,4-1516,25,69167
69886,4-1518,350,59927
69984,4-1519,475,53559
70079,4-1521,1115,60354
70180,4-1523,225,64824
70284,4-1602,600,87530
70393,4-1603,775,73258
70503,4-1604,530,86505
70608,4-1605,590,62695
70711,4-1606,550,76422
70810,4-1707,535,48231
70913,4-1708,305,55498
71016,4-1710,250,40500
71108,4-1712,125,42813
71214,4-1713,550,35558
71303,4-1714,250,45051
71399,4-1715,785,30144
71468,4-1716,485,46269
71562,4-1717,500,29888
71635,4-1718,175,35950
71721,4-1719,200,36164
71806,4-1720,30,40958
71885,4-1722,200,45652
71969,4-1723,680,43783
72065,4-1725,120,35665
72152,4-1801,115,15890
72239,4-1803,75,13635
72316,4-1805,125,60991
72428,4-1807,375,52585
72540,4-1824,825,86010
72652,4-1826,705,94678
72769,4-1901,500,73551
72877,4-1917,300,87515
72989,4-1919,150,78118
73102,4-1921,855,71236
73209,4-2005,160,46593
73309,4-2007,365,33395
73402,4-2009,475,26119
73478,4-2011,25,20173
73553,4-2013,250,10299
73595,4-2015,225,38893
73686,4-2017,500,24738
73756,4-2019,375,39257
73851,4-2021,250,26654
73931,4-2023,500,19479
73992,4-2100,245,19391
74074,4-2102,35,14923
74146,4-2104,180,16850
74232,4-2106,250,11990
74306,4-2108,260,18330
74382,4-2110,125,19162
74455,4-2114,125,23778
74549,4-2116,75,23547
74644,4-2120,110,20703
74732,4-2202,200,52893
74846,4-2204,275,45520
74961,4-2208,595,59517
75075,4-2210,450,47152
75187,4-2212,635,54996
75296,4-2214,25,43980
75400,4-2216,35,31870
75503,4-2401,50,36554
75602,4-2402,35,20024
75675,4-2403,80,25460
75762,4-2405,220,25119
75856,4-2407,250,26145
75942,4-2409,300,33218
76045,4-2411,60,21923
76124,4-2413,310,36474
76230,4-2414,50,42459
76334,4-2419,175,47114
76447,4-2420,375,47808
76550,4-2421,90,35019
76665,4-2422,325,44990
76775,4-2423,30,40089
76889,4-2424,850,38795
77000,4-2425,105,45579
77116,4-2513,250,71829
77229,4-2514,25,33774
77329,4-2515,145,64041
77442,4-2517,225,59678
77555,4-2519,90,53372
77669,4-2520,100,34545
77774,4-2521,125,56659
77888,4-2522,575,26794
77983,4-2601,250,48804
78091,4-2602,95,26409
78179,4-2603,20,33329
78280,4-2604,50,14153
78355,4-2605,110,26669
78447,4-2606,175,16484
78519,4-2607,525,37588
78622,4-2608,425,20770
78697,4-2610,125,18514
78782,4-2613,125,52970
78893,4-2616,285,31685
78990,4-2617,245,55321
79099,4-2619,350,51258
79203,4-2621,719,65397
79314,4-2702,500,58714
79421,4-2704,375,45178
79515,4-2706,375,44309
79610,4-2708,225,58890
79720,4-2715,295,58183
79817,4-2800,400,46425
79921,4-2801,355,62815
80032,4-2802,50,30314
80117,4-2804,255,28783
80206,4-2807,250,49348
80311,4-2811,250,42557
80415,4-2813,375,38558
80507,4-2819,375,35960
80599,4-2821,135,22744
80678,4-2823,160,23982
80757,4-2825,210,29958
80853,4-2901,385,35224
80953,4-2903,175,40825
81061,4-3001,455,67989
81174,4-300W,3650,619763
81293,4-307,1080,96787
81402,4-3101,560,91942
81517,4-3103,205,66846
81626,4-3106,590,48330
81732,4-3107,265,63133
81836,4-3108,410,33800
81933,4-3110,395,36059
82028,4-3111,610,58820
82131,4-3112,380,29794
82215,4-3114,660,33265
82310,4-3115,410,50760
82416,4-3116,10,40224
82523,4-3117,220,48092
82631,4-3118,75,46263
82738,4-3119,250,65776
82854,4-3120,160,56679
82962,4-3122,130,65740
83073,4-3124,345,49883
83158,4-3125,425,82364
83267,4-313,35,102824
83376,4-315,595,104635
83490,4-318,1205,105854
83604,4-320,865,104346
83717,4-3209,125,35999
83820,4-3210,530,46009
83928,4-3211,250,36709
84029,4-3212,50,32153
84124,4-3213,250,27779
84211,4-3214,35,32743
84315,4-3215,525,29389
84405,4-3217,145,16494
84471,4-3219,250,16573
84540,4-322,615,113050
84655,4-3221,175,20530
84731,4-3300,150,48118
84839,4-3301,125,60499
84949,4-3302,350,48536
85054,4-3303,150,69609
85165,4-3306,120,54339
85279,4-3308,285,51453
85389,4-3310,275,80828
85507,4-3314,539,70927
85608,4-3315,524,88469
85722,4-3317,555,82592
85835,4-3319,505,86974
85952,4-3321,655,86815
86066,4-3323,500,85576
86181,4-3403,250,52668
86288,4-3407,240,61387
86396,4-3500,175,58153
86507,4-3502,615,61933
86622,4-3503,50,81745
86736,4-3504,615,61979
86850,4-3505,500,70786
86963,4-3506,50,64144
87076,4-3507,575,80619
87191,4-3508,250,64323
87306,4-3509,375,82923
87420,4-3510,500,73475
87531,4-3515,500,86871
87644,4-3519,830,82707
87757,4-3527,650,95502
87867,4-3531,500,99390
87981,4-3535,500,94886
88097,4-3537,430,86068
88210,4-3539,25,89719
88325,4-3545,725,84696
88442,4-3611,125,80276
88557,4-3613,300,72863
88668,4-3636,75,91559
88783,4-3638,25,83090
88898,4-3640,450,79253
89013,4-3642,730,93613
89130,4-3649,555,92534
89244,4-3651,785,101576
89359,4-3734,790,92976
89471,4-3736,315,84672
89587,4-3738,450,91388
89706,4-3802,655,98553
89825,4-3803,35,109612
89945,4-3804,410,100114
90060,4-3805,275,95423
90162,4-3806,1110,107282
90280,4-3807,1080,111083
90400,4-3808,770,101306
90513,4-3809,970,105485
90630,4-3810,850,104414
90751,4-3811,895,113711
90868,4-3812,725,113549
90984,4-3814,770,109389
91099,4-3815,750,95654
91208,4-3816,1195,107610
91329,4-3818,960,93400
91439,4-3819,180,109490
91555,4-3821,945,116388
91675,4-3823,720,111127
91794,4-3825,665,115131
91913,4-3827,870,112875
92030,4-3829,615,87070
92143,4-3830,1124,122006
92259,4-3831,550,91090
92376,4-3832,885,106726
92480,4-3900,575,112185
92599,4-3902,1010,113194
92716,4-3904,880,113038
92832,4-3905,885,112102
92953,4-3906,1130,114851
93070,4-3907,1215,116926
93188,4-3909,1305,110377
93303,4-3911,980,113332
93419,4-3912,845,113776
93535,4-3913,965,116457
93652,4-3915,1045,106400
93767,4-3917,650,111441
93885,4-3918,5,104668
93998,4-3919,570,105029
94113,4-3921,60,108826
94230,4-3922,1510,105651
94346,4-3924,825,97961
94462,4-3928,85,108096
94579,4-3929,730,101978
94694,4-3930,1310,106998
94812,4-3932,830,107306
94928,4-3938,30,104061
95044,4-3939,1045,29971
95082,4-3940,535,108011
95197,4-3941,1050,88303
95309,4-3942,1075,101302
95425,4-403,250,115621
95541,4-405,1060,110201
95654,4-4059,40,100075
95771,4-4061,705,103998
95888,4-4063,315,95285
95999,4-4065,170,86694
96103,4-407,675,105715
96209,4-415,25,32855
96318,4-417,1125,100636
96428,4-419,930,104174
96543,4-501,845,104617
96660,4-503,1140,114212
96773,4-505,760,112573
96884,4-507,35,110824
96995,4-508,1200,106250
97110,4-509,989,116455
97223,4-510,380,111287
97339,4-511,880,112803
97453,4-513,854,118685
97563,4-514,10,103757
97677,4-515,490,106800
97788,4-516,200,110044
97902,4-517,330,103971
98015,4-519,700,115480
98130,4-521,1000,111933
98240,4-523,1230,101929
98346,4-525,1205,117839
98460,4-527,1080,105716
98567,4-529,680,114191
98677,4-537,200,96614
98789,4-539,325,91394
98900,4-541,75,80999
99006,4-543,355,89485
99122,4-603,1130,114287
99234,4-605,875,119674
99350,4-607,1020,121531
99466,4-609,1130,116994
99581,4-611,500,117265
99697,4-623,1205,115819
99809,4-625,190,115455
99925,4-700,725,98890
100037,4-702,970,101991
100150,4-710,1135,107756
100266,4-711,1200,118496
100378,4-712,1240,106358
100492,4-714,630,103677
100609,4-719,1155,112906
100721,4-721,1025,110096
100836,4-723,930,112466
100950,4-725,1030,118466
101064,4-803,1205,115138
101179,4-805,550,114844
101296,4-807,185,72030
101412,4-815,999,98616
101526,4-821,1045,101970
101638,4-823,805,105654
101755,4-901,565,87108
101871,4-903,795,87947
101979,4-905,660,92417
102092,4-907,1015,93511
102201,4-909,365,39045
102309,5-1002,590,79687
102413,5-1004,350,85301
102520,5-1006,25,93240
102634,5-1302,50,50810
102745,5-1311,125,65642
102855,5-1313,550,66610
102964,5-1314,40,46408
103067,5-1316,250,55403
103172,5-1317,175,50453
103285,5-1318,210,57247
103394,5-1320,150,52746
103500,5-1323,629,40541
103599,5-1404,35,10279
103636,5-1406,125,41618
103699,5-1408,5,43237
103762,5-1410,10,39563
103823,5-1411,200,70245
103937,5-1412,175,23795
103977,5-1413,195,66124
104086,5-1414,225,21304
104125,5-1415,175,69323
104238,5-1416,470,22810
104271,5-1417,175,69596
104383,5-1418,450,18909
104418,5-1419,1070,59627
104528,5-1420,475,20041
104564,5-1421,225,56758
104667,5-1422,640,18134
104705,5-1423,25,71052
104820,5-1424,25,22218
104861,5-1425,175,65347
104969,5-1426,250,250
104970,5-1500,175,57292
105074,5-1502,419,70717
105186,5-1504,705,65981
105287,5-1506,780,62801
105389,5-1508,550,48452
105490,5-1509,375,66025
105600,5-1511,630,55242
105698,5-1518,175,78212
105813,5-1519,320,72394
105925,5-1520,170,75936
106039,5-1521,300,86221
106152,5-1522,55,76861
106262,5-1524,85,81085
106378,5-1600,150,66030
106481,5-1700,575,68857
106587,5-1701,250,69996
106694,5-1702,650,76223
106803,5-1705,625,68554
106910,5-1707,5,72873
107016,5-1709,20,74513
107128,5-1711,230,74021
107240,5-1720,834,73238
107345,5-1722,45,68141
107453,5-1724,710,66915
107560,5-1803,185,19755
107672,5-1805,325,61961
107770,5-1807,840,76132
107882,5-1809,875,77898
107997,5-1811,110,73488
108108,5-1813,480,73199
108217,5-1815,300,77789
108329,5-1817,1025,77509
108440,5-1819,765,85693
108549,5-1820,250,14145
108586,5-1822,750,7270
108611,5-1824,435,24100
108676,5-1902,305,55072
108765,5-1904,700,48305
108862,5-1906,1015,57847
108965,5-1908,220,52672
109064,5-1910,65,71658
109173,5-1918,150,63667
109283,5-1920,230,52519
109390,5-2000,204,30233
109471,5-2002,125,14110
109525,5-2004,125,12779
109573,5-2006,100,10569
109616,5-2007,250,28793
109699,5-2008,25,5310
109725,5-2009,150,28902
109809,5-2010,250,3950
109828,5-2011,160,19080
109896,5-2012,250,1760
109904,5-2013,210,8125
109939,5-2014,250,1705
109946,5-2015,100,10650
109990,5-2016,25,2085
109998,5-2017,150,8914
110039,5-2018,25,2420
110048,5-2019,125,13144
