,zone,area,sub_area,pole,config_id,config_name,longitude,latitude,nearest_pothole_dist
1005,Downtown,East Village,900 ELEVENTH AVE,11-911,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15461200000001,32.714942,80.69074620940145
1006,Downtown,East Village,900 ELEVENTH AVE,11-915,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.154614,32.715132000000004,60.815706521503955
1007,Downtown,East Village,900 ELEVENTH AVE,11-917,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15461599999999,32.715322,42.112146376886116
1008,Downtown,East Village,500 THIRTEENTH ST,13-502,9281,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15293899999999,32.710685,104.72143219681166
1009,Downtown,East Village,500 THIRTEENTH ST,13-504,9281,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152925,32.710573,116.96090167685384
1010,Downtown,East Village,500 THIRTEENTH ST,13-506,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.15292600000001,32.710633,110.34180409247946
1011,Downtown,East Village,500 THIRTEENTH ST,13-508,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.15292600000001,32.710692,103.82844259876818
1012,Downtown,East Village,500 THIRTEENTH ST,13-510,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.152927,32.710772,95.01236064940649
1013,Downtown,East Village,500 THIRTEENTH ST,13-512,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.152928,32.710832,88.4098610961478
1014,Downtown,East Village,500 THIRTEENTH ST,13-514,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.152928,32.710892,81.80395856724465
1015,Downtown,East Village,500 THIRTEENTH ST,13-526,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.152929,32.710952,75.21848172022804
1016,Downtown,East Village,500 THIRTEENTH ST,13-528,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.15293,32.711011,68.75547809594647
1017,Downtown,East Village,500 THIRTEENTH ST,13-530,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.15293,32.711071000000004,62.18412259728214
1018,Downtown,East Village,500 THIRTEENTH ST,13-532,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.15293100000001,32.711131,55.64887987755009
1019,Downtown,East Village,500 THIRTEENTH ST,13-534,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15293100000001,32.711191,49.1254222875488
1020,Downtown,East Village,500 THIRTEENTH ST,13-536,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152932,32.711271,40.51595568849867
1021,Downtown,East Village,500 THIRTEENTH ST,13-538,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.152933,32.71133,34.25885816384018
1022,Downtown,East Village,500 THIRTEENTH ST,13-540,14760,2 Hour Max $1.25 HR 8am-6pm Mon-Sat      (Mobile Pay) ,-117.152934,32.71139,28.028438458764494
1023,Downtown,East Village,500 THIRTEENTH ST,13-600,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152869,32.711675,7.115955958703738
1024,Downtown,East Village,500 THIRTEENTH ST,13-602,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152869,32.711675,7.115955958703738
1025,Downtown,East Village,500 THIRTEENTH ST,13-604,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15287,32.711896,30.43080850437155
1026,Downtown,East Village,500 THIRTEENTH ST,13-606,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152846,32.711888,29.297084344115063
1027,Downtown,East Village,500 THIRTEENTH ST,13-608,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152821,32.711960999999995,37.304246965042935
1028,Downtown,East Village,500 THIRTEENTH ST,13-610,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15281499999999,32.711969,38.19680466613303
1029,Downtown,East Village,500 THIRTEENTH ST,13-614,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152763,32.71212,55.20904206119116
1030,Downtown,East Village,500 THIRTEENTH ST,13-616,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152763,32.71212,55.20904206119116
1031,Downtown,East Village,500 THIRTEENTH ST,13-624,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15272900000001,32.712416,88.17640561233395
1032,Downtown,East Village,700 THIRTEENTH ST,13-700W1,13178,MSPM 4 Hour Max $1.00 HR 8am-6pm Mon-Sat,-117.152809,32.712961,148.16448784206494
1033,Downtown,East Village,700 THIRTEENTH ST,13-700W2,13178,MSPM 4 Hour Max $1.00 HR 8am-6pm Mon-Sat,-117.15328799999999,32.713941999999996,234.3721580025546
1034,Downtown,East Village,700 THIRTEENTH ST,13-701,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152776,32.712902,141.68491977045636
1035,Downtown,East Village,700 THIRTEENTH ST,13-703,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15281599999999,32.712971,149.2690300815569
1036,Downtown,East Village,700 THIRTEENTH ST,13-705,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152322,32.712693,127.38715756066732
1037,Downtown,East Village,700 THIRTEENTH ST,13-707,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15236200000001,32.71277,134.1086165431355
1038,Downtown,East Village,700 THIRTEENTH ST,13-709,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152778,32.713152,169.38325826969145
1039,Downtown,East Village,700 THIRTEENTH ST,13-711,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15277900000001,32.713382,194.87139579743487
1040,Downtown,East Village,700 THIRTEENTH ST,13-717,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15276999999999,32.713206,175.3870079026143
1041,Downtown,East Village,700 THIRTEENTH ST,13-719,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152723,32.713313,187.4109042939828
1042,Downtown,East Village,700 THIRTEENTH ST,13-721,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.153048,32.71345,203.4715535149605
1043,Downtown,East Village,700 THIRTEENTH ST,13-723,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15278799999999,32.713390999999994,195.85328304332145
1044,Downtown,East Village,800 THIRTEENTH ST,13-817,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15278300000001,32.714081,260.5634847175767
1045,Downtown,East Village,800 THIRTEENTH ST,13-821,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15278300000001,32.714215,250.97447238286117
1046,Downtown,East Village,800 THIRTEENTH ST,13-827,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15278400000001,32.714253,248.27586705863428
1047,Downtown,East Village,800 THIRTEENTH ST,13-829,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15278400000001,32.714292,245.6270082480805
1048,Downtown,East Village,800 THIRTEENTH ST,13-833,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15278400000001,32.714445,235.71412079134146
1049,Downtown,East Village,800 THIRTEENTH ST,13-835,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15278500000001,32.714521999999995,230.9564430208575
1050,Downtown,East Village,800 THIRTEENTH ST,13-837,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15278500000001,32.714618,225.43833174674862
1051,Downtown,East Village,200 FOURTEENTH ST,14-209,9283,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.151801,32.707692,52.602507828496776
1052,Downtown,East Village,200 FOURTEENTH ST,14-213,9000,2 Hour Max $1.25 HR 8am-6pm Mon-Sat,-117.151802,32.708018,88.11582503008283
1053,Downtown,East Village,400 FOURTEENTH ST,14-401,14757,2 Hour Max $1.25 HR 8am-6pm Mon-Sat    (Mobile Pay) ,-117.151825,32.709957,23.088011756152312
1054,Downtown,East Village,500 FOURTEENTH ST,14-506,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151948,32.711094,100.8457266989291
1055,Downtown,East Village,500 FOURTEENTH ST,14-508,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151999,32.711061,99.26334623111696
1056,Downtown,East Village,500 FOURTEENTH ST,14-510,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15201100000002,32.711102000000004,95.57088095085788
1057,Downtown,East Village,500 FOURTEENTH ST,14-512,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152026,32.711106,94.18526729609977
1058,Downtown,East Village,500 FOURTEENTH ST,14-514,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.152032,32.711119000000004,92.86377700422112
1059,Downtown,East Village,500 FOURTEENTH ST,14-516,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151903,32.711193,98.53072562607889
1060,Downtown,East Village,500 FOURTEENTH ST,14-518,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15196,32.711179,94.69630065144754
1061,Downtown,East Village,500 FOURTEENTH ST,14-520,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151877,32.711242,98.20334442208431
1062,Downtown,East Village,500 FOURTEENTH ST,14-521,9280,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15183400000001,32.710677000000004,102.32022238890877
1063,Downtown,East Village,500 FOURTEENTH ST,14-522,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15185100000001,32.711284,98.53097547805518
1064,Downtown,East Village,500 FOURTEENTH ST,14-523,9280,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151835,32.710836,119.92609146298419
1065,Downtown,East Village,500 FOURTEENTH ST,14-524,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151909,32.711333,91.47617610093967
1066,Downtown,East Village,500 FOURTEENTH ST,14-525,9281,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15183700000001,32.711015,114.40840129061164
1067,Downtown,East Village,600 FOURTEENTH ST,14-603,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15184599999999,32.7117,91.8652522503026
1068,Downtown,East Village,600 FOURTEENTH ST,14-605,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151848,32.711819,93.80740978821741
1069,Downtown,East Village,600 FOURTEENTH ST,14-607,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15185,32.711918,96.74379027341293
1070,Downtown,East Village,600 FOURTEENTH ST,14-609,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151852,32.712036,101.72304420633978
1071,Downtown,East Village,600 FOURTEENTH ST,14-611,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151854,32.712134999999996,106.93574561160156
1072,Downtown,East Village,600 FOURTEENTH ST,14-613,12528,30 Min Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15185600000001,32.712253999999994,114.31714416963682
1073,Downtown,East Village,600 FOURTEENTH ST,14-615,12528,30 Min Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.151858,32.712353,121.1885465455299
1074,Downtown,East Village,600 FOURTEENTH ST,14-617,12528,30 Min Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15186100000001,32.712472,130.15630854843488
1075,Downtown,East Village,700 FOURTEENTH ST,14-700,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152046,32.712733,142.79886231641254
1076,Downtown,East Village,700 FOURTEENTH ST,14-702,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152047,32.712790000000005,148.22538416803332
1077,Downtown,East Village,700 FOURTEENTH ST,14-704,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152047,32.712848,153.86211741836703
1078,Downtown,East Village,700 FOURTEENTH ST,14-706,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152048,32.712905,159.4174570633391
1079,Downtown,East Village,700 FOURTEENTH ST,14-707,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151866,32.712945,171.63442226781558
1080,Downtown,East Village,700 FOURTEENTH ST,14-708,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152048,32.71302,170.86759661188736
1081,Downtown,East Village,700 FOURTEENTH ST,14-709,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151867,32.71306,182.58272685307716
1082,Downtown,East Village,700 FOURTEENTH ST,14-710,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152049,32.713135,182.45272509104993
1083,Downtown,East Village,700 FOURTEENTH ST,14-713,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151867,32.713175,193.79462764823202
1084,Downtown,East Village,700 FOURTEENTH ST,14-715,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151868,32.71329,205.1451564540918
1085,Downtown,East Village,700 FOURTEENTH ST,14-716,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152051,32.713346,204.06458085926516
1086,Downtown,East Village,700 FOURTEENTH ST,14-717,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15186899999999,32.713405,216.65126744267846
1087,Downtown,East Village,700 FOURTEENTH ST,14-718,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152052,32.713462,216.10700694821892
1088,Downtown,East Village,700 FOURTEENTH ST,14-719,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15187,32.71352,228.28943717900276
1089,Downtown,East Village,700 FOURTEENTH ST,14-720,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152052,32.713577,228.1630538713683
1090,Downtown,East Village,700 FOURTEENTH ST,14-722,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.152046,32.713423999999996,212.33303465823727
1091,Downtown,East Village,800 FOURTEENTH ST,14-809,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15187399999999,32.714046,237.7175379850387
1092,Downtown,East Village,800 FOURTEENTH ST,14-811,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15187399999999,32.714123,239.40845164570544
1093,Downtown,East Village,800 FOURTEENTH ST,14-813,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151875,32.7142,241.48030426716736
1094,Downtown,East Village,800 FOURTEENTH ST,14-815,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151875,32.714257,243.12897352652897
1095,Downtown,East Village,800 FOURTEENTH ST,14-817,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151876,32.714334,245.6860589429092
1096,Downtown,East Village,800 FOURTEENTH ST,14-819,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151876,32.714392,247.72232073717961
1097,Downtown,East Village,800 FOURTEENTH ST,14-821,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151877,32.714468,250.70276849232786
1098,Downtown,East Village,800 FOURTEENTH ST,14-823,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151877,32.714526,253.07628372264313
1099,Downtown,East Village,800 FOURTEENTH ST,14-825,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.151878,32.714603000000004,256.5280920950805
1100,Downtown,East Village,900 FOURTEENTH ST,14-911,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15187900000001,32.714821,267.38887153247134
1101,Downtown,East Village,900 FOURTEENTH ST,14-913,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15188,32.714898,271.6876606458689
1102,Downtown,East Village,900 FOURTEENTH ST,14-915,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15188,32.714954999999996,274.93817046894975
1103,Downtown,East Village,900 FOURTEENTH ST,14-917,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.151881,32.715031,279.04557058835087
1104,Downtown,East Village,900 FOURTEENTH ST,14-919,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.151881,32.715088,275.893686685981
1105,Downtown,East Village,900 FOURTEENTH ST,14-921,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.151882,32.715164,271.77995001128306
1106,Downtown,East Village,900 FOURTEENTH ST,14-923,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.151882,32.71524,267.95219728106895
1107,Downtown,East Village,900 FOURTEENTH ST,14-925,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15188300000001,32.715297,265.13586404968464
1108,Downtown,East Village,900 FOURTEENTH ST,14-927,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15188300000001,32.715373,261.68587593686016
1109,Downtown,East Village,900 FOURTEENTH ST,14-929,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15188300000001,32.71543,259.247976409404
1110,Downtown,East Village,900 FOURTEENTH ST,14-931,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15188400000001,32.715507,256.0775078019116
1111,Downtown,East Village,900 FOURTEENTH ST,14-933,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15188400000001,32.715564,253.95556876536824
1112,Downtown,East Village,900 FOURTEENTH ST,14-935,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.15188500000001,32.71564,251.25609531305292
1113,Downtown,East Village,300 FIFTEENTH ST,15-303,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15026200000001,32.708905,178.93016005491108
1114,Downtown,East Village,300 FIFTEENTH ST,15-305,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.150267,32.709215,156.84389179172575
1115,Downtown,East Village,400 FOURTEENTH ST,15-400,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15045900000001,32.709734999999995,123.05717165264717
1116,Downtown,East Village,400 FOURTEENTH ST,15-402,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15032099999999,32.70975,112.3487903679257
1117,Downtown,East Village,600 FIFTEENTH ST,15-602,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.150108,32.711671,148.04409904284782
1118,Downtown,East Village,600 FIFTEENTH ST,15-604,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.14989299999999,32.711815,156.30871527411006
1119,Downtown,East Village,600 FIFTEENTH ST,15-606,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.149573,32.712263,155.72395455846234
1120,Downtown,East Village,600 FIFTEENTH ST,15-608,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.149902,32.711836,158.77618590956075
1121,Downtown,East Village,600 FIFTEENTH ST,15-610,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.149818,32.712107,176.80280596625417
1122,Downtown,East Village,600 FIFTEENTH ST,15-612,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15026499999999,32.712013,188.66578024058018
1123,Downtown,East Village,600 FIFTEENTH ST,15-614,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.149948,32.712034,181.09542833007626
1124,Downtown,East Village,600 FIFTEENTH ST,15-618,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.14988500000001,32.712109000000005,178.15389557253937
1125,Downtown,East Village,600 FIFTEENTH ST,15-620,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.14989299999999,32.712101000000004,179.2088996313481
1126,Downtown,East Village,600 FIFTEENTH ST,15-621,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.150292,32.712133,189.479860069336
1127,Downtown,East Village,600 FIFTEENTH ST,15-623,12494,2 Hour Max $1.25 HR 8am-6pm Mon-Sat (Mobile Pay),-117.15029299999999,32.712214,181.55707611320736
1128,Downtown,East Village,700 FIFTEENTH ST,15-700,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15048300000001,32.712694,148.73999466590013
1129,Downtown,East Village,700 FIFTEENTH ST,15-702,9268,9 Hour Max $0.50 HR 8am-6pm Mon-Sat,-117.15048300000001,32.712732,145.7423576451235
1130,Downtown,East Village,700 FIFTEENTH ST,15-704,9268,9 Hour Max $0.50 HR 8am-6pm Mon-Sat,-117.15048300000001,32.71277,142.80607102367037
1131,Downtown,East Village,700 FIFTEENTH ST,15-706,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.150484,32.712807,140.0789339543508
1132,Downtown,East Village,700 FIFTEENTH ST,15-708,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.150484,32.712845,137.27670416269555
1133,Downtown,East Village,700 FIFTEENTH ST,15-710,9268,9 Hour Max $0.50 HR 8am-6pm Mon-Sat,-117.150485,32.712902,133.28552337326605
1134,Downtown,East Village,700 FIFTEENTH ST,15-711,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15030300000001,32.712922,118.97133207819421
1135,Downtown,East Village,700 FIFTEENTH ST,15-712,9268,9 Hour Max $0.50 HR 8am-6pm Mon-Sat,-117.150485,32.712977,128.2196303639817
1136,Downtown,East Village,700 FIFTEENTH ST,15-713,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.150304,32.712996999999994,113.50121120081872
1137,Downtown,East Village,700 FIFTEENTH ST,15-714,9268,9 Hour Max $0.50 HR 8am-6pm Mon-Sat,-117.15048600000001,32.713053,123.5245406193418
1138,Downtown,East Village,700 FIFTEENTH ST,15-715,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.150304,32.713073,108.25198685633497
1139,Downtown,East Village,700 FIFTEENTH ST,15-716,9268,9 Hour Max $0.50 HR 8am-6pm Mon-Sat,-117.15048700000001,32.713161,117.53605072089265
1140,Downtown,East Village,700 FIFTEENTH ST,15-721,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.150306,32.713203,100.44403201767433
1141,Downtown,East Village,700 FIFTEENTH ST,15-722,9268,9 Hour Max $0.50 HR 8am-6pm Mon-Sat,-117.150488,32.713243,113.64341452729482
1142,Downtown,East Village,700 FIFTEENTH ST,15-723,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.150306,32.713284,96.24693268393267
1143,Downtown,East Village,700 FIFTEENTH ST,15-724,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.150489,32.713324,110.40112155281321
1144,Downtown,East Village,700 FIFTEENTH ST,15-725,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15030700000001,32.713366,92.78086856147614
1145,Downtown,East Village,700 FIFTEENTH ST,15-726,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15048999999999,32.713425,107.25543393716667
1146,Downtown,East Village,700 FIFTEENTH ST,15-728,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15048999999999,32.713466,106.25167377059927
1147,Downtown,East Village,700 FIFTEENTH ST,15-730,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15049099999999,32.713506,105.54463910548488
1148,Downtown,East Village,700 FIFTEENTH ST,15-732,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15049099999999,32.713547,104.9141731734992
1149,Downtown,East Village,700 FIFTEENTH ST,15-734,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15049199999999,32.713588,104.57126248965561
1150,Downtown,East Village,700 FIFTEENTH ST,15-736,1044,9 Hour Max $0.50 HR 8am-6pm M-Sat,-117.15049199999999,32.713628,104.33514113483811
1151,Downtown,East Village,800 FIFTEENTH ST,15-820,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.150493,32.713758,104.96021730549336
1152,Downtown,East Village,800 FIFTEENTH ST,15-822,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.150494,32.713815000000004,105.90559335583147
1153,Downtown,East Village,800 FIFTEENTH ST,15-824,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15049499999999,32.713873,107.24029380395586
1154,Downtown,East Village,800 FIFTEENTH ST,15-826,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15049499999999,32.713949,109.41999862349809
1155,Downtown,East Village,800 FIFTEENTH ST,15-828,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.150497,32.714063,113.95845211169583
1156,Downtown,East Village,800 FIFTEENTH ST,15-829,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15031499999999,32.714103,100.60712017535681
1157,Downtown,East Village,800 FIFTEENTH ST,15-830,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.150498,32.714211,121.44095057750366
1158,Downtown,East Village,800 FIFTEENTH ST,15-831,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15031699999999,32.714271999999994,111.1455690238161
1159,Downtown,East Village,800 FIFTEENTH ST,15-835,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.150318,32.714392,119.82136277526342
1160,Downtown,East Village,800 FIFTEENTH ST,15-839,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.150319,32.714512,129.28618733025397
1161,Downtown,East Village,800 FIFTEENTH ST,15-843,14746,9 Hour Max $0.50 HR 8am-6pm M-Sat  (Mobile Pay),-117.15032,32.714632,139.37939340056704
1162,Downtown,East Village,900 FIFTEENTH ST,15-902,14762,2 Hour Max $1.25 HR 8am-4pm Mon-Sat  (Mobile Pay) ,-117.150504,32.714865,170.31832019872118
